code,tpqi_code,tpqi_tier1_code,tpqi_tier2_code,tpqi_tier3_code,tpqi_level_code,tpqi_level_name,create_date,update_date,is_use
1,1,PRT,PRS,272,02,ชั้น 2,2022-09-14 15:39:43.900652,2022-09-14 15:39:43.900652,1
2,2,PRT,PRS,272,03,ชั้น 3,2022-09-14 15:39:43.900652,2022-09-14 15:39:43.900652,1
3,3,PRT,PRS,272,01,ชั้น 1,2022-09-14 15:39:43.900652,2022-09-14 15:39:43.900652,1
4,4,PRT,PRS,273,01,ชั้น 1,2022-09-14 15:39:43.900652,2022-09-14 15:39:43.900652,1
5,5,PRT,PRS,273,02,ชั้น 2,2022-09-14 15:39:43.900652,2022-09-14 15:39:43.900652,1
6,6,PRT,PRS,273,03,ชั้น 3,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
7,7,PRT,PRS,273,04,ชั้น 4,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
8,8,PRT,PRS,274,02,ชั้น 2,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
9,9,PRT,PRS,274,03,ชั้น 3,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
10,10,PRT,PRS,274,04,ชั้น 4,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
11,11,PRT,PRS,274,01,ชั้น 1,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
12,12,PRT,PRS,275,01,ชั้น 1,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
13,13,PRT,PRS,275,02,ชั้น 2,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
14,14,PRT,PRS,275,03,ชั้น 3,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
15,15,PRT,PRS,275,04,ชั้น 4,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
16,41,LOG,POO,908,03,ชั้น 3,2022-09-14 15:39:43.901652,2022-09-14 15:39:43.901652,1
17,42,LOG,POO,908,04,ชั้น 4,2022-09-14 15:39:43.902653,2022-09-14 15:39:43.902653,1
18,43,LOG,POO,908,05,ชั้น 5,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
19,44,LOG,POO,908,06,ชั้น 6,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
20,50,MLD,MPT,231,02,ชั้น 2,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
21,51,MLD,MPT,231,03,ชั้น 3,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
22,52,MLD,MPT,231,04,ชั้น 4,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
23,53,MLD,MPT,232,03,ชั้น 3,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
24,54,MLD,MPT,232,04,ชั้น 4,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
25,55,MLD,MPT,232,05,ชั้น 5,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
26,60,MLD,MPT,234,02,ชั้น 2,2022-09-14 15:39:43.902768,2022-09-14 15:39:43.902768,1
27,61,MLD,MPT,234,03,ชั้น 3,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
28,62,MLD,MPT,234,04,ชั้น 4,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
29,63,MLD,MPT,234,05,ชั้น 5,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
30,76,MLD,DMT,225,02,ชั้น 2,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
31,77,MLD,DMT,225,03,ชั้น 3,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
32,78,MLD,DMT,225,04,ชั้น 4,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
33,79,MLD,DMT,225,05,ชั้น 5,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
34,136,TEX,TAI,361,02,ชั้น 2,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
35,137,TEX,TAI,360,01,ชั้น 1,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
36,138,TEX,TAI,362,02,ชั้น 2,2022-09-14 15:39:43.903653,2022-09-14 15:39:43.903653,1
37,139,TEX,TAI,357,03,ชั้น 3,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
38,140,TEX,TAI,356,02,ชั้น 2,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
39,141,TEX,TAI,359,03,ชั้น 3,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
40,142,TEX,TAI,361,03,ชั้น 3,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
41,143,TEX,TAI,361,04,ชั้น 4,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
42,144,TEX,TAI,362,03,ชั้น 3,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
43,145,TEX,TAI,356,01,ชั้น 1,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
44,146,TEX,TAI,358,04,ชั้น 4,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
45,147,TEX,TAI,359,05,ชั้น 5,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
46,148,TEX,TAI,360,05,ชั้น 5,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
47,149,TEX,TAI,362,01,ชั้น 1,2022-09-14 15:39:43.904652,2022-09-14 15:39:43.904652,1
48,150,TEX,TAI,356,03,ชั้น 3,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
49,151,TEX,TAI,356,04,ชั้น 4,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
50,152,TEX,TAI,357,01,ชั้น 1,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
51,153,TEX,TAI,357,02,ชั้น 2,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
52,154,TEX,TAI,358,01,ชั้น 1,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
53,155,TEX,TAI,358,03,ชั้น 3,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
54,156,TEX,TAI,360,03,ชั้น 3,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
55,157,TEX,TAI,358,02,ชั้น 2,2022-09-14 15:39:43.905652,2022-09-14 15:39:43.905652,1
56,158,TEX,TAI,360,02,ชั้น 2,2022-09-14 15:39:43.906393,2022-09-14 15:39:43.906393,1
57,159,TEX,TAI,360,04,ชั้น 4,2022-09-14 15:39:43.906393,2022-09-14 15:39:43.906393,1
58,160,TEX,TAI,359,04,ชั้น 4,2022-09-14 15:39:43.906393,2022-09-14 15:39:43.906393,1
59,286,PRT,PRE,265,01,ชั้น 1,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
60,287,PRT,PRE,264,01,ชั้น 1,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
61,291,PRT,PRE,266,02,ชั้น 2,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
62,292,PRT,PRE,265,02,ชั้น 2,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
63,293,PRT,PRE,264,02,ชั้น 2,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
64,297,PRT,PRE,266,03,ชั้น 3,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
65,298,PRT,PRE,265,03,ชั้น 3,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
66,301,PRT,PRE,266,04,ชั้น 4,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
67,302,PRT,PRE,265,04,ชั้น 4,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
68,303,PRT,PRE,264,04,ชั้น 4,2022-09-14 15:39:43.906652,2022-09-14 15:39:43.906652,1
69,304,PRT,PRS,272,04,ชั้น 4,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
70,305,PRT,PRE,266,05,ชั้น 5,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
71,306,PRT,PRE,265,05,ชั้น 5,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
72,307,PRT,PRS,272,05,ชั้น 5,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
73,410,TEX,TAI,359,01,ชั้น 1,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
74,411,TEX,TAI,359,02,ชั้น 2,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
75,412,TEX,TAI,356,05,ชั้น 5,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
76,413,TEX,TAI,361,05,ชั้น 5,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
77,414,TEX,TAI,357,04,ชั้น 4,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
78,415,TEX,TAI,355,02,ชั้น 2,2022-09-14 15:39:43.907653,2022-09-14 15:39:43.907653,1
79,416,TEX,TAI,355,03,ชั้น 3,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
80,417,TEX,TAI,362,04,ชั้น 4,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
81,499,AVT,GDI,411,03,ชั้น 3,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
82,500,AVT,GDI,411,04,ชั้น 4,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
83,501,AVT,GDO,1004,01,ชั้น 1,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
84,502,AVT,GDO,1005,01,ชั้น 1,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
85,503,AVT,GDO,1006,01,ชั้น 1,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
86,504,AVT,GDO,1007,01,ชั้น 1,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
87,505,AVT,GDO,1008,01,ชั้น 1,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
88,506,AVT,GDO,1009,01,ชั้น 1,2022-09-14 15:39:43.908654,2022-09-14 15:39:43.908654,1
89,507,AVT,GDO,1010,01,ชั้น 1,2022-09-14 15:39:43.909653,2022-09-14 15:39:43.909653,1
90,508,AVT,GDO,1011,01,ชั้น 1,2022-09-14 15:39:43.909745,2022-09-14 15:39:43.909745,1
91,509,AVT,GDO,1012,01,ชั้น 1,2022-09-14 15:39:43.909745,2022-09-14 15:39:43.909745,1
92,510,AVT,GDO,1013,01,ชั้น 1,2022-09-14 15:39:43.909745,2022-09-14 15:39:43.909745,1
