,group_code,submajor_code,group_name,description,"status"
0,011,01,ทหารชั้นสัญญาบัตร,"ปฏิบัติงานเกี่ยวกับการเป็นผู้นำและผู้จัดการหน่วยงานต่างๆ ในองค์การ และ/หรือปฏิบัติงานที่
คล้ายกันกับงานของพลเรือนภายนอกกองกำลังทหาร รวมถึงสมาชิกทั้งหมดของทหารที่มียศ
ร้อยตรี (หรือเทียบเท่า) หรือสูงกว่า ผู้ประกอบอาชีพที่จัดประเภทไว้ในหมวดย่อยนี้ส่วนใหญ่
ต้องมีทักษะในระดับที่ 4 ตามระดับทักษะของ ISCO
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? นายทหารชั้นสัญญาบัตร
? พลเอก
? พลอากาศจัตวา
? จอมพลอากาศ
? นายพลจัตวา (กองทัพบก)
? นักเรียนนายร้อยทหาร
? นักบิน (กองทัพอากาศ)
? ร้อยเอก (กองทัพบก)
? นาวาอากาศเอก (กองทัพอากาศ)
? นาวาเอก (กองทัพเรือ)
? พันเอก (กองทัพบก)
? ผู้บัญชาการกองเรือ
? นาวาอากาศโท
? พลอากาศจัตวา
? พลเอก (กองทัพบก)
? นาวาอากาศตรี
? ร้อยโท (กองทัพบก)
? ร้อยตรี (กองทัพบก)
? เรือเอก (กองทัพเรือ)
? เรืออากาศเอก
? พันตรี (กองทัพบก)
? จอมพล
? ว่าที่เรือตรี
? เรืออากาศโท
? เรือตรี (กองทัพเรือ)
ยกเว้น
? ลูกจ้างพลเรือนของหน่วยงานราชการที่มีหน้าที่เกี่ยวข้องกับการป้องกันประเทศ
? ตำรวจ (นอกเหนือจากสารวัตรทหาร)
? ผู้ตรวจการของกรมศุลกากรและสมาชิกของหน่วยงานราชการที่ประจำอยู่ตามชายแดน
หรือหน่วยงานราชการพลเรือนติดอาวุธอื่นๆ
","1"
1,021,02,ทหารชั้นประทวน,"ปฏิบัติหน้าที่ตามกฎระเบียบของกองทัพและควบคุมกิจกรรมต่างๆ ในกองกำลังที่มอบหมาย
งานให้กับนายทหารในระดับยศอื่นๆ และ/หรือปฏิบัติงานที่คล้ายกันกับงานของพลเรือน
ภายนอกกองกำลังทหาร รวมถึงสมาชิกทั้งหมดของทหารที่มียศสิบเอก พันจ่า และสิบตรี ผู้
ประกอบอาชีพที่จัดประเภทไว้ในหมวดย่อยนี้ส่วนใหญ่ต้องมีทักษะในระดับที่ 2 ตามระดับ
ทักษะของ ISCO
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? พันจ่าเรือ (กองทัพเรือ)
? พันจ่าอากาศ
? สิบเอก (กองทัพบก)
? จ่าสิบเอก
? พันจ่า
ยกเว้น
? ลูกจ้างพลเรือนของหน่วยงานราชการที่มีหน้าที่เกี่ยวข้องกับการป้องกันประเทศ
? ตำรวจ (นอกเหนือจากสารวัตรทหาร)
? ผู้ตรวจการของกรมศุลกากรและสมาชิกของหน่วยงานราชการที่ประจำอยู่ตามชายแดน
หรือหน่วยงานราชการพลเรือนติดอาวุธอื่นๆ
","1"
2,031,03,ทหารยศอื่นๆ,"ทหารยศอื่นๆ ได้แก่ทหารเกณฑ์และที่ไม่ใช่ทหารเกณฑ์อื่นๆ (ยกเว้นนายทหารชั้นสัญญาบัตร
และนายทหารชั้นประทวน) โดยปฏิบัติงานเฉพาะอย่างในกองทัพ และ/หรือปฏิบัติงานที่
คล้ายกันกับงานของพลเรือนภายนอกกองกำลังทหาร ผู้ประกอบอาชีพที่จัดประเภทไว้ใน
หมวดย่อยนี้ส่วนใหญ่ต้องมีทักษะในระดับที่ 1 ตามระดับทักษะของ ISCO
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? พลทหารอากาศ
? พลทหารท้ายเรือ/สรั่งเรือ
? พลทหารปืนใหญ่
? พลทหารราบ
? ทหารพลร่ม
? พลทหารปืนยาว
? พลทหารเรือ
ยกเว้น
? ลูกจ้างพลเรือนของหน่วยงานราชการที่มีหน้าที่เกี่ยวข้องกับการป้องกันประเทศ
? ตำรวจ (นอกเหนือจากสารวัตรทหาร)
? ผู้ตรวจการของกรมศุลกากรและสมาชิกของหน่วยงานราชการที่ประจำอยู่ตามชายแดน
หรือหน่วยงานราชการพลเรือนติดอาวุธอื่นๆ
","1"
3,111,11,ผู้บัญญัติกฎหมายและข้าราชการระดับอาวุโส,"ปฏิบัติงานเกี่ยวกับการกำหนด บัญญัติ ให้คำปรึกษาแนะนำ และกำกับดูแลการดำเนินงานตาม
นโยบายของรัฐบาลหรือชุมชนในระดับประเทศ รัฐ ภูมิภาค หรือท้องถิ่น และองค์การที่
ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง รวมถึงร่างกฎหมาย ตรากฎหมาย เปลี่ยนแปลงหรือ
ยกเลิกกฎหมาย กฎระเบียบและข้อบังคับสาธารณะต่างๆ วางแผน จัดการ กำกับ ควบคุม และ
ประเมินผลการดำเนินงานในภาพรวมของรัฐบาลและหน่วยงานของรัฐ ชุมชนท้องถิ่น และ
องค์การที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง
ทำหน้าที่เกี่ยวกับ
? กำกับดูแลหรือมีส่วนร่วมในหน่วยงานด้านกฎหมายและสภาการบริหารงานของรัฐ สภา
นิติบัญญัติ ชุมชนท้องถิ่น และองค์การที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง
? สนับสนุนการทำงานของคณะผู้บริหารประเทศหรือคณะกรรมการที่ได้รับการแต่งตั้งอย่าง
เป็นทางการ
? ตรวจสอบเรื่องที่เกี่ยวข้องกับสาธารณชนและส่งเสริมสิทธิประโยชน์ตามรัฐธรรมนูญ
? จัดทำและให้คำแนะนำเกี่ยวกับนโยบาย งบประมาณ กฎหมาย และระเบียบข้อบังคับของ
รัฐบาล
? กำหนดวัตถุประสงค์ขององค์การ และกำหนดหรืออนุมัติและประเมินผลโครงการและ
นโยบายและขั้นตอนการปฏิบัติงาน
? ให้ข้อเสนอแนะ ทบทวน ประเมินผล และอนุมัติออกเอกสาร สรุป และรายงานที่ได้รับ
การตอบรับ
? ตรวจสอบให้แน่ใจว่ามีการพัฒนาและนำระบบและขั้นตอนดำเนินงานไปใช้ในการควบคุม
งบประมาณอย่างเหมาะสม
? จัดสรรการใช้ที่ดินสาธารณะและทรัพยากรอื่นๆ
? เข้าร่วมงานในการพิธีการต่างๆ และเป็นตัวแทนอย่างเป็นทางการในนามของวิสาหกิจ
รัฐบาล องค์การ หรือชุมชน รวมถึงในการชุมนุม การเจรจา การประชุม และการประชา
พิจารณ์
","1"
4,112,11,กรรมการผู้จัดการและผู้บริหารระดับสูง,"ปฏิบัติงานเกี่ยวกับการกำหนดและทบทวนนโยบายและแผนงาน ควบคุม ประสานงาน และ
ประเมินผลการดำเนินงานในภาพรวมของวิสาหกิจหรือองค์การ (ยกเว้น องค์การที่ดำเนินการ
เพื่อผลประโยชน์เฉพาะอย่างและหน่วยงานของภาครัฐ) โดยมีผู้จัดการอื่นๆ คอยสนับสนุนการ
ทำงาน ซึ่งโดยปกติจะดำเนินการภายใต้แนวทางที่กำหนด โดยคณะกรรมการบริหารหรือ
องค์การกำกับดูแลการทำงาน โดยจะต้องเป็นผู้ที่สามารถตอบข้อซักถามเกี่ยวกับการปฏิบัติงาน
และผลลัพธ์การดำเนินงานได้
ทำหน้าที่เกี่ยวกับ
? วางแผน ควบคุม และประสานหน้าที่การทำงานทั่วไปของวิสาหกิจหรือองค์การ
? ทบทวนการปฏิบัติงานและผลการดำเนินงานของวิสาหกิจหรือองค์การ และนำเสนอ
รายงานแก่คณะกรรมการบริหารและองค์การกำกับดูแลการทำงาน
? กำหนดวัตถุประสงค์ กลยุทธ์ นโยบาย และโครงการสำหรับวิสาหกิจหรือองค์การ
? กำกับและบริหารวิสาหกิจและองค์การในภาพรวม
? กำหนดและจัดการงบประมาณ และควบคุมค่าใช้จ่าย และตรวจสอบให้แน่ใจว่าการใช้
ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? มีอำนาจในการตัดสินใจใช้ทรัพยากร บุคคลากร และงบประมาณเพื่อดำเนินนโยบายและ
โครงการต่างๆ
? ติดตามและประเมินผลการทำงานขององค์การหรือวิสาหกิจ โดยเปรียบเทียบกับ
วัตถุประสงค์และนโยบายที่กำหนดขึ้น
? ปรึกษาหารือกับผู้ปฏิบัติงานอาวุโสที่อยู่ใต้บังคับบัญชา และทบทวนข้อเสนอแนะและ
รายงานต่างๆ
? เป็นตัวแทนขององค์การในโอกาสและการประชุมคณะกรรมการอย่างเป็นทางการ ในการ
เจรจา ประชุม ประชาพิจารณ์ และการเสวนา
? คัดเลือกหรือให้การอนุมัติเพื่อคัดเลือกผู้ปฏิบัติงานระดับอาวุโส
? ตรวจสอบให้แน่ใจว่าองค์การได้ปฏิบัติตามกฎระเบียบและข้อบังคับที่เกี่ยวข้อง
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? ผู้บริหารระดับสูง
? กรรมการผู้จัดการ (MD)
? ผู้จัดการระดับภูมิภาค
หมายเหตุ
? ผู้จัดการระดับภูมิภาคและผู้จัดการอาวุโส ทำหน้าที่ประสานงานและควบคุมการทำงาน
ของผู้จัดการที่อยู่ใต้บังคับบัญชาซึ่งมีหน้าที่ความรับผิดชอบที่หลากหลาย ได้จัดประเภท
ไว้ในรหัสอาชีพ 1120 (กรรมการผู้จัดการและผู้บริหารระดับสูง)
? ผู้จัดการที่รับผิดชอบในการทำงานเฉพาะด้านในเขตพื้นที่เฉพาะไม่จัดไว้ในรหัสอาชีพนี้
เช่น ผู้จัดการด้านการขายประจำเขต ได้จัดประเภทไว้ในรหัสอาชีพ 1221 (ผู้จัดการด้าน
การขายและการตลาด)
? อาชีพที่มีหน้าที่รับผิดชอบหลักในการร่วมเป็นสมาชิกของคณะกรรมการบริหารของ
วิสาหกิจหรือองค์การตั้งแต่หนึ่งแห่งหรือมากกว่า ได้จัดประเภทไว้ในรหัสอาชีพ 1120
(กรรมการผู้จัดการและผู้บริหารระดับสูง)
? ผู้บริหารระดับสูงของภาครัฐซึ่งเป็นเจ้าของวิสาหกิจ ได้จัดประเภทไว้ในรหัสอาชีพ 1120
(กรรมการผู้จัดการและผู้บริหารระดับสูง)
","1"
5,121,12,ผู้จัดการด้านการบริการธุรกิจและการบริหารจัดการ,"ปฏิบัติงานเกี่ยวกับการวางแผน จัดการ กำกับ ควบคุม และประสานงานด้านการเงิน การบริหาร
จัดการ ทรัพยากรบุคคล นโยบาย และวางแผนกิจกรรมขององค์การหรือวิสาหกิจที่ให้บริการ
ดังกล่าวแก่วิสาหกิจและองค์การอื่นๆ
ทำหน้าที่เกี่ยวกับ
? กำหนดและบริหารจัดการด้านนโยบาย การให้คำปรึกษา การวางแผนด้านกลยุทธ์และ
การเงิน
? กำหนดและควบคุมขั้นตอนการดำเนินงานและการบริหารจัดการ
? ดำเนินการ ควบคุมดูแล และประเมินกลยุทธ์และนโยบาย
? ให้คำปรึกษาแนะนำแก่ผู้จัดการระดับอาวุโสและคณะกรรมการ ด้านการเงิน กลยุทธ์
การบริหารจัดการ นโยบาย การกำหนดโครงการ และระเบียบข้อบังคับ
? ตรวจสอบให้ให้แน่ใจว่าการดำเนินงานเป็นไปตามกฎหมาย กฎข้อบังคับ และมาตรฐาน
? คัดเลือกหรืออนุมัติการคัดเลือกผู้ปฏิบัติงาน
? จัดทำงบประมาณและตรวจสอบการดำเนินการด้านการเงิน
? ปรึกษาหารือกับผู้บริหารระดับสูงและผู้จัดการแผนกหรือส่วนงานอื่นๆ
? ควบคุมค่าใช้จ่ายและตรวจสอบให้แน่ใจว่าการใช้ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? เป็นตัวแทนขององค์การในการเจรจา การประชุม การสัมมนา การประชาพิจารณ์ และ
การเสวนา
","1"
6,122,12,ผู้จัดการด้านการขาย การตลาด และการพัฒนาธุรกิจ,"ปฏิบัติงานเกี่ยวกับการวางแผน จัดการ กำกับ ควบคุม และประสานงานโฆษณา ประชาสัมพันธ์
วิจัยและพัฒนา และกิจกรรมด้านการขายและการตลาดของวิสาหกิจและองค์การ หรือวิสาหกิจ
ที่ให้บริการดังกล่าวแก่วิสาหกิจและองค์การอื่นๆ
ทำหน้าที่เกี่ยวกับ
? กำหนดและดำเนินนโยบายและแผนงานในการโฆษณา ประชาสัมพันธ์ พัฒนาผลิตภัณฑ์
การขายและการตลาด โดยการปรึกษากับผู้จัดการแผนกอื่นๆ
? ควบคุมการพัฒนาการคิดค้นผลิตภัณฑ์ใหม่หรือการวิจัยเชิงวิทยาศาสตร์
? ทำการตลาด ประชาสัมพันธ์ และจัดการรณรงค์โฆษณา
? กำหนดและควบคุมกิจกรรมด้านการขาย ส่วนประสมผลิตภัณฑ์ มาตรฐานการบริการ
ลูกค้า และวิธีการขายสินค้า และนโยบายการกระจายสินค้า
? กำหนดราคาและการออกสินเชื่อ
? กำหนดและจัดการงบประมาณ และควบคุมค่าใช้จ่าย และตรวจสอบให้แน่ใจว่าการใช้
ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? ควบคุมการคัดเลือก การฝึกอบรม และการปฏิบัติงานของพนักงาน
? เป็นตัวแทนของวิสาหกิจหรือองค์การในการประชุม งานแสดงสินค้า และการเสวนา
","1"
7,131,13,ผู้จัดการด้านการผลิตในภาคการเกษตร การป่าไม้ และการประมง,"ปฏิบัติงานเกี่ยวกับการวางแผน ควบคุม และประสานงานด้านการผลิตในภาคการเกษตร
การปลูกพืชในสวนหรือเรือนกระจก การป่าไม้ และการประมงขนาดใหญ่ เช่น ไร่นา ฟาร์ม
ปศุสัตว์ขนาดใหญ่ ระบบนารวม และสหกรณ์การเกษตร เพื่อเพาะปลูกและเก็บเกี่ยวพืชผล
และผสมพันธุ์และเลี้ยงปศุสัตว์ สัตว์น้ำและสัตว์น้ำประเภทมีเปลือก เพื่อจับและเก็บสัตว์น้ำ
และสิ่งมีชีวิตในน้ำในรูปแบบต่างๆ
ทำหน้าที่เกี่ยวกับ
? ติดตามดูแลสถานการณ์ด้านการตลาดของภาคการเกษตรและการป่าไม้ และวางแผน
ผลผลิตเพื่อให้ตรงกับความต้องการตามสัญญาและความต้องการของตลาด
? จัดทำและจัดการงบประมาณ ติดตามดูปริมาณผลผลิตและต้นทุน บันทึกข้อมูลต่างๆ เช่น
การปฏิบัติงานด้านการจัดการฟาร์มและการประมง และการจัดทำรายงานด้านการเงินและ
การปฏิบัติงาน
? พูดคุยกับผู้ซื้อสินค้าเพื่อเตรียมการสำหรับการขายพืชผล สินค้าที่จับมาได้ หรือมีอยู่ในคลัง
? ทำสัญญากับเกษตรกร กัปตันเรือ หรือเจ้าของธุรกิจในการผลิตและการจัดการผลผลิต
? วางแผนประเภทงาน ความสำคัญ และลำดับการปฏิบัติงาน
? จัดซื้อเครื่องจักร อุปกรณ์ และเครื่องมือเครื่องใช้
? ระบุและควบคุมสารพิษทางสิ่งแวดล้อม วัชพืช สัตว์ศัตรูพืช และเชื้อโรค
? จัดการด้านการปฏิบัติงาน เช่น การบำรุงรักษาอาคาร สิ่งก่อสร้าง ระบบจัดหาน้ำหรือ
ระบบประปา และอุปกรณ์
? ควบคุมการคัดเลือก การฝึกอบรม และการปฏิบัติงานของพนักงานและผู้รับจ้างเหมา
","1"
8,132,13,ผู้จัดการด้านการผลิต เหมืองแร่ ก่อสร้าง และการจัดส่งสินค้า,"ปฏิบัติงานเกี่ยวกับการวางแผน จัดการ และประสานงานด้านการผลิต การขุดเจาะแร่ การ
ก่อสร้าง การจัดหา การจัดเก็บ และการจัดส่งสินค้า อาจเป็นผู้จัดการแผนกหรือเป็นผู้จัดการ
ทั่วไปของวิสาหกิจหรือองค์การที่ไม่มีสายการบังคับบัญชาของผู้จัดการก็ได้
ทำหน้าที่เกี่ยวกับ
? วางแผนรายละเอียดของกิจกรรมที่เกี่ยวข้องกับคุณภาพและปริมาณผลผลิต ต้นทุน ความ
ตรงต่อเวลา และความต้องการด้านแรงงาน
? ควบคุมการทำงานของเครื่องจักรโรงงานและกระบวนการทำงานให้มีประสิทธิภาพโดย
วางแผนการบำรุงรักษา กำหนดชั่วโมงการทำงาน และจัดหาอุปกรณ์เครื่องใช้ต่างๆ
? เตรียมการยื่นประมูลและประมูลงานตามสัญญาจ้าง
? กำหนดและจัดการงบประมาณ ควบคุมดูแลผลผลิตและต้นทุน และปรับกระบวนการ
ทำงานและการใช้ทรัพยากรเพื่อลดต้นทุนให้น้อยที่สุด
? ตรวจสอบการได้มาและการติดตั้งเครื่องจักรและอุปกรณ์ใหม่
? ควบคุมการจัดทำบันทึกและรายงานการผลิต
? ประสานการการดำเนินการให้เป็นไปตามมาตรฐานด้านสุขภาพและความปลอดภัย
? วางแผนและควบคุมการปฏิบัติงานประจำวัน
? ควบคุมการคัดเลือก การฝึกอบรม และการปฏิบัติงานของพนักงาน
","1"
9,133,13,ผู้จัดการด้านการบริการเทคโนโลยีสารสนเทศและการสื่อสาร,"ปฏิบัติงานเกี่ยวกับการวางแผน ควบคุม และประสานงานการได้มา การพัฒนา การบำรุงรักษา
และการใช้คอมพิวเตอร์และระบบสื่อสารโทรคมนาคม อาจเป็นผู้จัดการแผนกหรือเป็น
ผู้จัดการทั่วไปของวิสาหกิจหรือองค์การที่ไม่มีสายการบังคับบัญชาของผู้จัดการก็ได้
ทำหน้าที่เกี่ยวกับ
? ปรึกษากับผู้ใช้ ผู้บริหาร ผู้จำหน่าย และเจ้าหน้าที่เทคนิค เพื่อประเมินความต้องการ
ทางด้านการคำนวณและความต้องการระบบ และกำหนดเทคโนโลยีเพื่อให้ตรงกับความ
ต้องการ
? จัดทำและกำกับยุทธศาสตร์ นโยบาย และแผนงานเทคโนโลยีสารสนเทศและการสื่อสาร
(ICT)
? ควบคุมดูแลการเลือกใช้และการติดตั้งทรัพยากรเทคโนโลยีสารสนเทศและการสื่อสาร
รวมถึงจัดเตรียมการฝึกอบรมให้กับผู้ใช้
? ควบคุมการปฏิบัติงานของระบบเทคโนโลยีสารสนเทศและการสื่อสาร วิเคราะห์กระบวนการ
ทำงาน กำหนดลำดับความสำคัญของงาน จัดทำมาตรฐาน และกำหนดเวลาที่งานต้อง
แล้วเสร็จ
? ตรวจสอบความปลอดภัยของระบบเทคโนโลยีสารสนเทศและการสื่อสาร
? มอบหมาย ทบทวน จัดการ และควบคุมการทำงานของนักวิเคราะห์ระบบ โปรแกรมเมอร์
และผู้ปฏิบัติงานด้านคอมพิวเตอร์อื่นๆ
? ประเมินผลการใช้และความจำเป็นด้านเทคโนโลยีขององค์การ และให้คำแนะนำในการ
ปรับปรุง เช่น การปรับปรุงฮาร์ดแวร์และซอฟต์แวร์
? กำหนดและจัดการงบประมาณ และควบคุมค่าใช้จ่าย และตรวจสอบให้แน่ใจว่าการใช้
ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? กำหนดและควบคุมขั้นตอนการดำเนินงานและการบริหารจัดการ
? ควบคุมการคัดเลือก การฝึกอบรม และการปฏิบัติงานของพนักงาน
? เป็นตัวแทนของวิสาหกิจหรือองค์การในการประชุม การสัมมนา และการเสวนาที่
เกี่ยวข้องกับเทคโนโลยีสารสนเทศและการสื่อสาร
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? ผู้จัดการฝ่ายพัฒนาโปรแกรมประยุกต์
? หัวหน้าศูนย์สารสนเทศ
? ผู้จัดการฝ่ายปฏิบัติการข้อมูล
? ผู้จัดการฝ่ายประมวลผลข้อมูล
? ผู้จัดการฝ่ายพัฒนาเทคโนโลยีสารสนเทศและการสื่อสาร
? ผู้อำนวยการระบบสารสนเทศ
? ผู้จัดการฝ่ายเทคโนโลยีสารสนเทศ
? ผู้จัดการฝ่ายข้อมูลสารสนเทศ
? ผู้จัดการฝ่ายบริการด้านอินเตอร์เน็ต (Internet service provider: ISP)
? ผู้จัดการด้านเครือข่าย
","1"
