code,title,title_tokenized,description,description_tokenized,title_en,description_en,kw,kw_en
1110.20,สมาชิกสภาผู้แทนราษฎร,สมาชิกสภาผู้แทนราษฎร,เป็นผู้แทนปวงชนชาวไทยในการใช้อำนาจนิติบัญญัติ จัดทำ แก้ไข เปลี่ยนแปลง ยกเลิก พระราชบัญญัติ และแก้ไขเพิ่มเติมรัฐธรรมนูญ ให้คำแนะนำและยินยอมในการตราพระราชบัญญัติเพื่อใช้บังคับเป็นกฎหมาย ควบคุมการบริหารราชการแผ่นดินของฝ่ายบริหารให้ดำเนินการตามบทบัญญัติแห่งรัฐธรรมนูญ และทำหน้าที่อื่นตามที่บัญญัติไว้ในกฎหมาย,เป็นผู้แทน|ปวงชน|ชาวไทย|ใน|การ|ใช้|อำนาจนิติบัญญัติ| |จัดทำ| |แก้ไข| |เปลี่ยนแปลง| |ยกเลิก| |พระราชบัญญัติ| |และ|แก้ไข|เพิ่มเติม|รัฐธรรมนูญ| |ให้|คำแนะนำ|และ|ยินยอม|ใน|การ|ตรา|พระราชบัญญัติ|เพื่อ|ใช้|บังคับ|เป็น|กฎหมาย| |ควบคุม|การบริหาร|ราชการ|แผ่นดิน|ของ|ฝ่ายบริหาร|ให้|ดำเนิน|การตาม|บทบัญญัติ|แห่ง|รัฐธรรมนูญ| |และ|ทำหน้าที่|อื่น|ตามที่|บัญญัติ|ไว้|ใน|กฎหมาย,member of the house of representatives,"act as representative of the thai people in accordance with the legislative power , amend , amend , and amend the constitutional amendment , and consent of the bill of the law to be enforced as the statute of the affairs of the executive , to administer the constituencies of the constitution , and to act according to the statutory requirements of the law .",ใช้อำนาจนิติบัญญัติ|บัญญัติ|ยกเลิก|ทำหน้าที่อื่น|พระราชบัญญัติ|แก้ไขเพิ่มเติมรัฐธรรมนูญ|คำแนะนำ|ยินยอม|ตราพระราชบัญญัติ|ใช้บังคับ|เป็นกฎหมาย|ควบคุมการบริหารราชการแผ่นดิน|ฝ่ายบริหาร|ดำเนินการตามบทบัญญัติ|รัฐธรรมนูญ,use the legislative power|deuteronomy 6 : 7 - 9|abort !|do another job .|act .|amend the constitution|a suggestion .|consent to|the seal of the act|apply force|it &apos;s the law .|supervising the administration of national affairs|the administration .|proceed according to the provisions|the constitution
1110.25,สมาชิกวุฒิสภา,สมาชิกวุฒิสภา,เป็นผู้แทนปวงชนชาวไทยในการใช้อำนาจนิติบัญญัติ กลั่นกรองกฎหมายโดยพิจารณาให้ความเห็นชอบ หรือแก้ไขเพิ่มเติมร่างพระราชบัญญัติ ที่สมาชิกสภาผู้แทนราษฎรเสนอต่อวุฒิสภา พิจารณาเลือก แต่งตั้ง ถอดถอน ให้คำแนะนำ หรือให้ความเห็นชอบให้บุคคลดำรงตำแหน่งตาม รัฐธรรมนูญ ควบคุมการบริหารราชการแผ่นดินและทำหน้าที่อื่นตามที่บัญญัติไว้ในกฎหมาย,เป็นผู้แทน|ปวงชน|ชาวไทย|ใน|การ|ใช้|อำนาจนิติบัญญัติ| |กลั่นกรอง|กฎหมาย|โดย|พิจารณา|ให้|ความ|เห็นชอบ| |หรือ|แก้ไข|เพิ่มเติม|ร่างพระราชบัญญัติ| |ที่|สมาชิกสภาผู้แทนราษฎร|เสนอ|ต่อ|วุฒิสภา| |พิจารณา|เลือก| |แต่งตั้ง| |ถอดถอน| |ให้|คำแนะนำ| |หรือ|ให้|ความ|เห็นชอบ|ให้|บุคคล|ดำรงตำแหน่ง|ตาม| |รัฐธรรมนูญ| |ควบคุม|การบริหาร|ราชการ|แผ่นดิน|และ|ทำหน้าที่|อื่น|ตามที่|บัญญัติ|ไว้|ใน|กฎหมาย,- senator .,"acting as representative of the thai people in accordance with the legislative power by considering the approval or amendment of the representation of a member of the house of representatives of the house of representatives , the choice of the one to remove the guidance or approval of the constituencies of the constituencies of the national administration and other statutory requirements of the law",เห็นชอบ|ใช้อำนาจนิติบัญญัติ|บัญญัติ|ทำหน้าที่อื่น|กลั่นกรองกฎหมาย|วุฒิสภา|พิจารณาเลือก|แต่งตั้ง|ควบคุมการบริหารราชการแผ่นดิน,"aye .|use the legislative power|deuteronomy 6 : 7 - 9|do another job .|sift the law|the senate .|consider , select .|appoint a post|supervising the administration of national affairs"
1110.30,รัฐมนตรี,รัฐมนตรี,บริหารราชการแผ่นดินให้เป็นไปตามบทบัญญัติแห่งรัฐธรรมนูญ กฎหมาย และนโยบายของรัฐบาลที่ได้แถลงไว้ต่อรัฐสภา รวมทั้งเสนอแนะเพื่อการตราพระราชกำหนดและพระราชกฤษฎีกา การออกกฎกระทรวง ประกาศกระทรวงและระเบียบต่างๆ กำหนดนโยบายของกระทรวง ทบวง ให้ สอดคล้องกับนโยบายของรัฐบาล ปกครอง บังคับบัญชาข้าราชการ พนักงานและเจ้าหน้าที่อื่นในกระทรวงที่รับผิดชอบ,บริหาร|ราชการ|แผ่นดิน|ให้|เป็นไปตาม|บทบัญญัติ|แห่ง|รัฐธรรมนูญ| |กฎหมาย| |และ|นโยบาย|ของ|รัฐบาล|ที่|ได้|แถลง|ไว้|ต่อ|รัฐสภา| |รวมทั้ง|เสนอแนะ|เพื่อ|การ|ตรา|พระราชกำหนด|และ|พระราชกฤษฎีกา| |การ|ออก|กฎกระทรวง| |ประกาศ|กระทรวง|และ|ระเบียบ|ต่างๆ| |กำหนด|นโยบาย|ของ|กระทรวง| |ทบวง| |ให้| |สอดคล้อง|กับ|นโยบาย|ของ|รัฐบาล| |ปกครอง| |บังคับบัญชา|ข้าราชการ| |พนักงาน|และ|เจ้าหน้า|ที่อื่น|ใน|กระทรวง|ที่|รับผิดชอบ,a minister .,"administering the administration of the land according to the provisions of the constitution , the government &apos; s policies , and the government &apos; s policies , as well as recommends for the issuing of a decree issued by the ministry and policy , according to the government &apos; s policies of government officials and other officials in charge of the ministry .",กระทรวง|นโยบาย|รัฐบาล|เป็นไปตามบทบัญญัติ|รัฐธรรมนูญ|รวมทั้งเสนอแนะ|ตราพระราชกำหนด|พระราชกฤษฎีกา|ออกกฎกระทรวง|ประกาศกระทรวง,the ministry .|policy .|government .|according to the provisions|the constitution|as well as suggestions|emergency decree|a royal decree|issue a ministerial decree|announce a ministry
1110.40,สมาชิกสภาท้องถิ่น,สมาชิกสภา|ท้องถิ่น,เป็นผู้แทนดูแลผลประโยชน์และส่วนได้เสียของผู้เลือกตั้งในสภาท้องถิ่น ให้คำแนะนำและยินยอมในการออกกฎ ระเบียบ ข้อบังคับ เพื่อใช้ประกอบการบริหารงานปกครองท้องถิ่น ควบคุมการบริหารราชการส่วนท้องถิ่น และทำหน้าที่อื่นๆ ตามบทบัญญัติแห่งกฎหมายว่าด้วยการปกครองท้องถิ่น อาจใช้ชื่อว่าสมาชิกสภาเทศบาล สมาชิกองค์การบริหารส่วนตำบล สมาชิกสภาองค์การบริหารส่วนจังหวัด สมาชิกสภากรุงเทพมหานคร สมาชิกสภาเมืองพัทยา สมาชิกสภาเขต,เป็นผู้แทน|ดูแล|ผลประโยชน์|และ|ส่วน|ได้เสีย|ของ|ผู้|เลือกตั้ง|ใน|สภา|ท้องถิ่น| |ให้|คำแนะนำ|และ|ยินยอม|ใน|การ|ออก|กฎ| |ระเบียบ| |ข้อบังคับ| |เพื่อ|ใช้|ประกอบการ|บริหารงาน|ปกครอง|ท้องถิ่น| |ควบคุม|การบริหาร|ราชการส่วนท้องถิ่น| |และ|ทำหน้าที่|อื่นๆ| |ตาม|บทบัญญัติ|แห่ง|กฎหมาย|ว่าด้วย|การปกครอง|ท้องถิ่น| |อาจ|ใช้|ชื่อว่า|สมาชิกสภา|เทศบาล| |สมาชิก|องค์การบริหารส่วนตำบล| |สมาชิกสภา|องค์การบริหารส่วนจังหวัด| |สมาชิกสภา|กรุงเทพมหานคร| |สมาชิกสภา|เมือง|พัทยา| |สมาชิกสภา|เขต,local councilman .,"as representatives of the interests and interests of the local council , provide advice and consent for the implementation of local rules governing the local government as well as for other provisions of the local law of law , may be named as the council of civic administration , and as the members of the governing body , and as members of the governing body , and as members of the governing body , and as members of the governing body , as members of the governing body , and as members of the governing body , as members of the district , as members of the governing body , and as members of the governing body , as members of the governing body , as members of the governing body of the governing body of the governing body ,",ส่วนได้เสีย|สมาชิกสภาเมืองพัทยา|เลือกตั้ง|สมาชิกสภากรุงเทพมหานคร|สภาท้องถิ่น|คำแนะนำ|ยินยอม|ออกกฎ|ระเบียบ|ข้อบังคับ|ใช้ประกอบการบริหารงาน|ปกครองท้องถิ่น|ควบคุมการบริหารราชการส่วนท้องถิ่น|ทำหน้าที่อื่นๆ|บทบัญญัติ|กฎหมายว่าด้วยการปกครองท้องถิ่น|ใช้ชื่อว่าสมาชิกสภาเทศบาล|สมาชิกองค์การบริหารส่วนตำบล|สมาชิกสภาองค์การบริหารส่วนจังหวัด,- interest .|council member of pattaya|make an election|bangkok city|local council|a suggestion .|consent to|make a rule|order !|regulations|carry out an administrative task|rule a local|city hall control|do other functions|provisions .|local law|it &apos;s called the city council .|members of the administration of the district|the fellow members of the nation administration
1110.45,ผู้บริหารท้องถิ่น,ผู้บริหารท้องถิ่น,บริหารราชการส่วนท้องถิ่นให้เป็นไปตามบทบัญญัติแห่งรัฐธรรมนูญ กฎหมาย และนโยบายที่แถลงต่อสภาท้องถิ่น ปกครอง บังคับบัญชาพนักงานและลูกจ้างในองค์กรท้องถิ่น ดูแลและ คุ้มครองผลประโยชน์และส่วนได้เสียของท้องถิ่นและทำหน้าที่อื่นๆ ตามบทบัญญัติแห่งกฎหมายว่าด้วยการปกครอง ท้องถิ่น อาจใช้ชื่อว่า นายกเทศมนตรี นายกองค์การบริหารส่วนจังหวัด ประธานกรรมการองค์การบริหารส่วนตำบล ผู้ว่าราชการกรุงเทพมหานคร นายกเมืองพัทยา,บริหาร|ราชการส่วนท้องถิ่น|ให้|เป็นไปตาม|บทบัญญัติ|แห่ง|รัฐธรรมนูญ| |กฎหมาย| |และ|นโยบาย|ที่|แถลง|ต่อ|สภา|ท้องถิ่น| |ปกครอง| |บังคับบัญชา|พนักงาน|และ|ลูกจ้าง|ใน|องค์กร|ท้องถิ่น| |ดูแล|และ| |คุ้มครอง|ผลประโยชน์|และ|ส่วน|ได้เสีย|ของ|ท้องถิ่น|และ|ทำหน้าที่|อื่นๆ| |ตาม|บทบัญญัติ|แห่ง|กฎหมาย|ว่าด้วย|การปกครอง| |ท้องถิ่น| |อาจ|ใช้|ชื่อว่า| |นายกเทศมนตรี| |นายกองค์การบริหารส่วนจังหวัด| |ประธานกรรมการ|องค์การบริหารส่วนตำบล| |ผู้ว่าราชการ|กรุงเทพมหานคร| |นายกเมืองพัทยา,local administrative,"as well as the local administration of the government , as well as the governing body , the governing body and its employees , are in charge of local government , and are on the side of the local law , and are responsible for the local government , with the name of the local government , and may be named after the mayor of layukon , as president of the government , as well as the government , and as the government as the government of the government , and as the government , and as the government , and as the government .",ท้องถิ่น|เป็นไปตามบทบัญญัติ|ผู้ว่าราชการกรุงเทพมหานคร|รัฐธรรมนูญ|ประธานกรรมการองค์การบริหารส่วนตำบล|กฎหมาย|นโยบาย|แถลง|สภาท้องถิ่น|ปกครอง|บังคับบัญชาพนักงาน|ลูกจ้าง|องค์กรท้องถิ่น|ดูแล|นายกองค์การบริหารส่วนจังหวัด,local .|according to the provisions|governor of bangkok|the constitution|the ceo of a city hall|the law .|policy .|make a statement|local council|rule !|command one &apos; s staff|an employee .|local .|take care .|the one with the one with the government
1110.90,ผู้บัญญัติกฎหมายอื่นๆ,ผู้|บัญญัติ|กฎหมาย|อื่นๆ,ผู้ปฏิบัติงานอาชีพในกลุ่มนี้ รวมถึงผู้บัญญัติกฎหมายซึ่งมิได้จัดประเภทไว้ในที่อื่น,ผู้ปฏิบัติ|งานอาชีพ|ใน|กลุ่ม|นี้| |รวมถึง|ผู้|บัญญัติ|กฎหมาย|ซึ่ง|มิได้|จัด|ประเภท|ไว้|ใน|ที่อื่น,other legislators,the activities of this group include legislators not elsewhere classified,กลุ่มนี้|จัดประเภทไว้|บัญญัติกฎหมาย,this group .|sort out|establish a law
1120.20,ข้าราชการระดับบริหาร,ข้าราชการ|ระดับ|บริหาร,บริหารงานในฐานะหัวหน้าส่วนราชการ รองหัวหน้าส่วนราชการระดับกระทรวง หรือระดับกรมหรือเทียบเท่า กำหนดนโยบายและแผนปฏิบัติการในความรับผิดชอบให้สอดคล้องกับกฎหมาย นโยบายของรัฐบาลและแผนพัฒนาเศรษฐกิจและสังคมของประเทศ ให้คำปรึกษาและเสนอความเห็นต่อรัฐมนตรีเจ้าสังกัด คณะรัฐมนตรี หรือคณะกรรมการ ในปัญหาต่างๆ ที่เกี่ยวข้อง ควบคุม ดูแล บังคับบัญชาข้าราชการและลูกจ้างในส่วนราชการนั้นๆ และทำหน้าที่อื่นๆ ตามที่กฎหมายบัญญัติ,บริหารงาน|ใน|ฐานะ|หัวหน้า|ส่วนราชการ| |รองหัวหน้า|ส่วนราชการ|ระดับ|กระทรวง| |หรือ|ระดับ|กรม|หรือ|เทียบเท่า| |กำหนด|นโยบาย|และ|แผน|ปฏิบัติการ|ใน|ความรับผิดชอบ|ให้|สอดคล้อง|กับ|กฎหมาย| |นโยบาย|ของ|รัฐบาล|และ|แผน|พัฒนา|เศรษฐกิจ|และ|สังคม|ของ|ประเทศ| |ให้คำปรึกษา|และ|เสนอ|ความเห็น|ต่อ|รัฐมนตรีเจ้าสังกัด| |คณะรัฐมนตรี| |หรือ|คณะกรรมการ| |ใน|ปัญหา|ต่างๆ| |ที่|เกี่ยวข้อง| |ควบคุม| |ดูแล| |บังคับบัญชา|ข้าราชการ|และ|ลูกจ้าง|ใน|ส่วนราชการ|นั้นๆ| |และ|ทำหน้าที่|อื่นๆ| |ตามที่|กฎหมาย|บัญญัติ,executive officer,"administration as head of governors , government agencies , or government agencies , or as equals , implementing policies and operational plans according to the policies of the government and the country &apos;s economic and social planning , and presenting comments to the royal state of the cabinet and the related problems governing the government and the employees and other members of the government and others according to the law",ฐานะหัวหน้าส่วนราชการ|ทำหน้าที่อื่นๆ|รองหัวหน้าส่วนราชการระดับกระทรวง|ส่วนราชการนั้นๆ|ระดับกรม|เทียบเท่า|กำหนดนโยบาย|แผนปฏิบัติการ|ความรับผิดชอบ|สอดคล้อง|กฎหมาย|นโยบาย|รัฐบาล|แผนพัฒนาเศรษฐกิจ|สังคม|ประเทศ|ให้คำปรึกษา|เสนอความเห็น|รัฐมนตรีเจ้าสังกัด|คณะรัฐมนตรี|คณะกรรมการ|ปัญหาต่างๆ|ควบคุม|ดูแล|บังคับบัญชาข้าราชการ|ลูกจ้าง,as head of government .|do other functions|deputy head of state .|part of the business|the level of education|equal with|establish a policy|a plan of action|responsibility .|in keeping with|the law .|policy .|government .|an economic development plan|society .|country .|give counsel|put up one &apos; s opinion|lucky state of state .|the cabinet|a board of directors|problems .|control .|take care .|take command of one &apos; s government|an employee .
1120.30,ผู้บริหารรัฐวิสาหกิจ,ผู้บริหาร|รัฐวิสาหกิจ,บริหารงานภายในองค์การตามนโยบายที่คณะกรรมการของหน่วยงานรัฐวิสาหกิจได้กำหนดไว้ ภายใต้ กฎ ระเบียบ ข้อบังคับ และการควบคุมของรัฐบาล วางแผน กำหนดเป้าหมาย จัดระบบการบริหารงาน อำนวยการ และควบคุมการทำงาน รวมทั้งให้คำปรึกษาแนะนำการปฎิบัติงานแก่เจ้าหน้าที่ให้เป็นไปอย่างมีประสิทธิภาพ และบรรลุวัตถุประสงค์ของหน่วยงาน และทำหน้าที่อื่นๆ ตามที่กฎหมายบัญญัติ,บริหารงาน|ภายใน|องค์|การตาม|นโยบาย|ที่|คณะกรรมการ|ของ|หน่วยงาน|รัฐวิสาหกิจ|ได้|กำหนด|ไว้| |ภายใต้| |กฎ| |ระเบียบ| |ข้อบังคับ| |และ|การควบคุม|ของ|รัฐบาล| |วางแผน| |กำหนด|เป้าหมาย| |จัดระบบ|การ|บริหารงาน| |อำนวยการ| |และ|ควบคุม|การทำงาน| |รวมทั้ง|ให้คำปรึกษา|แนะนำ|การ|ปฎิบัติ|งาน|แก่|เจ้าหน้าที่|ให้|เป็นไป|อย่าง|มีประสิทธิภาพ| |และ|บรรลุ|วัตถุประสงค์|ของ|หน่วยงาน| |และ|ทำหน้าที่|อื่นๆ| |ตามที่|กฎหมาย|บัญญัติ,state enterprises management,"administration of policies , as stated by the state enterprises and government regulation and control , plans , plans , organization , administration and control and supervision of the authorities , and advise on effective operations and achieve the objectives of the unit and other organizations according to the law",บริหารงาน|ทำหน้าที่อื่นๆ|หน่วยงาน|คณะกรรมการ|หน่วยงานรัฐวิสาหกิจ|กฎ|ระเบียบ|ข้อบังคับ|การควบคุม|รัฐบาล|วางแผน|รวมทั้งให้คำปรึกษาแนะนำ|ปฎิบัติงาน|เจ้าหน้าที่|เป็นไป|มีประสิทธิภาพ|บรรลุวัตถุประสงค์,manage an administrative task|do other functions|the agency .|a board of directors|state enterprises|rules .|order !|regulations|control .|government .|make a plan|as well as advice .|operation .|officer ...|that &apos;s it .|effective .|achieve one &apos; s purpose
1120.40,ผู้บริหารองค์การมหาชน,ผู้บริหาร|องค์การมหาชน,บริหารกิจการขององค์การให้บรรลุวัตถุประสงค์ภายใต้กฎหมาย ระเบียบ ข้อบังคับหรือนโยบาย มติ และประกาศของคณะกรรมการองค์การมหาชน วางแผนกำหนดเป้าหมาย จัดระบบงาน อำนวยการ สั่งการ มอบหมายงาน ควบคุมการทำงาน รวมถึงให้คำปรึกษาแนะนำการปฏิบัติงานแก่ เจ้าหน้าที่ให้เป็นไปอย่างมีประสิทธิภาพและบรรลุวัตถุประสงค์ของหน่วยงาน มีอำนาจในการบรรจุ แต่งตั้ง ลดโทษและบริหาร ค่าจ้าง ตามข้อบังคับที่คณะกรรมการกำหนด วางระเบียบการดำเนินงานขององค์การมหาชนโดยไม่ขัดหรือแย้งกับระเบียบและมติหรือประกาศที่คณะกรรมการกำหนด และทำหน้าที่อื่น ๆ ตามที่กฎหมายบัญญัติ,บริหาร|กิจการ|ของ|องค์การ|ให้|บรรลุ|วัตถุประสงค์|ภายใต้|กฎหมาย| |ระเบียบ| |ข้อบังคับ|หรือ|นโยบาย| |มติ| |และ|ประกาศ|ของ|คณะกรรมการ|องค์การมหาชน| |วางแผน|กำหนด|เป้าหมาย| |จัดระบบ|งาน| |อำนวยการ| |สั่งการ| |มอบหมาย|งาน| |ควบคุม|การทำงาน| |รวมถึง|ให้คำปรึกษา|แนะนำ|การ|ปฏิบัติงาน|แก่| |เจ้าหน้าที่|ให้|เป็นไป|อย่าง|มีประสิทธิภาพ|และ|บรรลุ|วัตถุประสงค์|ของ|หน่วยงาน| |มีอำนาจ|ใน|การบรรจุ| |แต่งตั้ง| |ลดโทษ|และ|บริหาร| |ค่าจ้าง| |ตาม|ข้อบังคับ|ที่|คณะกรรมการ|กำหนด| |วาง|ระเบียบการ|ดำเนินงาน|ของ|องค์การมหาชน|โดย|ไม่|ขัด|หรือ|แย้ง|กับ|ระเบียบ|และ|มติ|หรือ|ประกาศ|ที่|คณะกรรมการ|กำหนด| |และ|ทำหน้าที่|อื่น| |ๆ| |ตามที่|กฎหมาย|บัญญัติ,the general of the people,"the activities of the organization carried out the objectives of the government &apos; s decision , or policy , and announced the objectives of the public board , the organizing , the administrative commission , the supervision of the work , the supervision of the staff , and the implementation of the objectives of the agency , and the execution of the execution and pay according to the regulations prescribed by the governing body ’ s committees , and not against the public order or resolutions or resolutions or other committees , and to announce the legislative assemblies and other legislative assemblies and legislative assemblies .",คณะกรรมการกำหนด|ระเบียบ|ข้อบังคับ|องค์การ|ประกาศ|มติ|ทำหน้าที่อื่น|จัดระบบงาน|อำนวยการ|สั่งการ|มอบหมายงาน|ควบคุมการทำงาน|รวมถึงให้คำปรึกษาแนะนำ|ปฏิบัติงาน|เจ้าหน้าที่|เป็นไป|มีประสิทธิภาพ|บรรลุวัตถุประสงค์|หน่วยงาน|มีอำนาจ|การบรรจุ|แต่งตั้ง|ลดโทษ,"the board is on schedule .|order !|regulations|an organization .|attention !|1 , 2 . how would you answer ?|do another job .|organize a task|direct the administration|put in command|assign a task|control your work .|and advise .|perform a mission|officer ...|that &apos;s it .|effective .|achieve one &apos; s purpose|the agency .|have the power|packing|appoint a post|a reduced sentence"
1120.90,นักบริหารหน่วยงานของรัฐอื่นๆ,นัก|บริหาร|หน่วยงาน|ของ|รัฐ|อื่นๆ,ผู้ปฏิบัติงานอาชีพในกลุ่มนี้ รวมถึง นักบริหารของหน่วยงานรัฐบาล ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ผู้ปฏิบัติ|งานอาชีพ|ใน|กลุ่ม|นี้| |รวมถึง| |นัก|บริหาร|ของ|หน่วยงาน|รัฐบาล| |ซึ่ง|มิได้|จัด|ประเภท|ไว้|ใน|ที่อื่น,other government administrator,the activities of this group include the administration of the government which is not elsewhere classified,กลุ่มนี้|จัดประเภทไว้|บริหาร|หน่วยงานรัฐบาล,this group .|sort out|run it .|the government agency
