code,title,title_tokenized,description,description_tokenized,title_en,description_en,kw,kw_en
1110,ผู้บัญญัติกฎหมาย,ผู้|บัญญัติ|กฎหมาย,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้ทำหน้าที่ในการดำเนินการออกกฎหมาย กฎ ระเบียบ ข้อบังคับ ประกาศต่าง ๆ ขึ้นใช้บังคับ แก้ไข เปลี่ยนแปลง ยกเลิกกฎหมาย กฎ ระเบียบ ข้อบังคับ ประกาศต่างๆ ที่มีอยู่แล้วภายใต้รัฐธรรมนูญ วางนโยบายทิศทางการบริหารราชการแผ่นดิน กำหนดหลักเกณฑ์และวิธีการเพื่อกำกับดูแลการบริหารราชการให้ดำเนินไปตามนโยบาย ให้คำปรึกษาแนะนำการบริหารงานของรัฐบาลหรือหน่วยงานของรัฐ กำกับดูแลผู้บริหารและเจ้าหน้าที่ของรัฐบาลให้ปฏิบัติงานลุล่วงตามนโยบายที่กำหนดไว้ ดูแลการบังคับใช้กฎหมายและการจัดองค์กรให้เป็นไปโดยเรียบร้อยตามเป้าหมาย ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้|ทำหน้าที่|ใน|การ|ดำเนิน|การออกกฎหมาย| |กฎ| |ระเบียบ| |ข้อบังคับ| |ประกาศ|ต่าง ๆ| |ขึ้น|ใช้|บังคับ| |แก้ไข| |เปลี่ยนแปลง| |ยกเลิก|กฎหมาย| |กฎ| |ระเบียบ| |ข้อบังคับ| |ประกาศ|ต่างๆ| |ที่|มี|อยู่แล้ว|ภายใต้|รัฐธรรมนูญ| |วางนโยบาย|ทิศทาง|การบริหาร|ราชการ|แผ่นดิน| |กำหนด|หลักเกณฑ์|และ|วิธีการ|เพื่อ|กำกับ|ดูแล|การบริหาร|ราชการ|ให้|ดำเนิน|ไป|ตาม|นโยบาย| |ให้คำปรึกษา|แนะนำ|การ|บริหารงาน|ของ|รัฐบาล|หรือ|หน่วยงาน|ของ|รัฐ| |กำกับ|ดูแล|ผู้บริหาร|และ|เจ้าหน้าที่ของรัฐ|บาล|ให้|ปฏิบัติงาน|ลุล่วง|ตาม|นโยบาย|ที่|กำหนด|ไว้| |ดูแล|การบังคับใช้|กฎหมาย|และ|การ|จัด|องค์กร|ให้|เป็นไป|โดยเรียบร้อย|ตาม|เป้าหมาย| |ปฏิบัติหน้าที่|การงาน|ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่นๆ,legislators,"a working group of activities in this unit group includes the activities of law-abiding law-governing rules governing the rules of regulations , repealing regulations , rules , regulations , regulations , regulations , regulations , regulations , regulations , regulations relating to the general affairs of the land , and procedures to enforce policies , government policies , and government officials and government officials to accomplish the implementation of policies , policies and to ensure compliance with the work and supervision of other workers",นโยบาย|กฎ|ข้อบังคับ|หน่วยนี้|ปฏิบัติหน้าที่การงาน|เป้าหมาย|ทำหน้าที่|วางนโยบายทิศทางการบริหารราชการ|แผ่นดิน|กำหนดหลักเกณฑ์|วิธีการ|กำกับดูแลการบริหาร|รัฐบาล|หน่วยงาน|รัฐ|กำกับดูแลผู้บริหาร|เป็นไปโดยเรียบร้อย,policy .|rules .|regulations|this unit .|carry out one &apos; s duties|target .|do the job .|formulating directions for public administration|land !|lay down a rule|how ?|direct the administration|government .|the agency .|state .|direct the management|off one &apos; s train
1120,ข้าราชการระดับอาวุโส นักบริหารของหน่วยงานรัฐบาล,ข้าราชการ|ระดับอาวุโส| |นัก|บริหาร|ของ|หน่วยงาน|รัฐบาล,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้บริหารและดำเนินการให้เป็นไปตามนโยบายของรัฐบาลภายในขอบเขตของกฎหมาย กฎ และระเบียบข้อบังคับที่วางไว้ ปฏิบัติงานในหน้าที่ที่กำหนดไว้ในส่วนราชการ รัฐวิสาหกิจ หรือในหน่วยงานของรัฐอื่นๆ เช่น การคลัง การสาธารณสุข การศึกษา การแรงงาน เป็นต้น มีส่วนร่วมในการกำหนดนโยบายของรัฐบาลและสั่งการให้ส่วนราชการดำเนินการให้เป็นไปตามนโยบาย รวมถึงการเป็นผู้แทนของประเทศในการปฏิบัติงานในต่างแดน ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้บริหาร|และ|ดำเนินการ|ให้|เป็นไปตาม|นโยบาย|ของ|รัฐบาล|ภายใน|ขอบเขต|ของ|กฎหมาย| |กฎ| |และ|ระเบียบ|ข้อบังคับ|ที่|วาง|ไว้| |ปฏิบัติงาน|ใน|หน้าที่|ที่|กำหนด|ไว้|ใน|ส่วนราชการ| |รัฐวิสาหกิจ| |หรือ|ใน|หน่วยงาน|ของ|รัฐ|อื่นๆ| |เช่น| |การคลัง| |การสาธารณสุข| |การศึกษา| |การ|แรงงาน| |เป็นต้น| |มีส่วน|ร่วมใน|การ|กำหนด|นโยบาย|ของ|รัฐบาล|และ|สั่งการ|ให้|ส่วนราชการ|ดำเนินการ|ให้|เป็นไปตาม|นโยบาย| |รวมถึง|การ|เป็นผู้แทน|ของ|ประเทศ|ใน|การ|ปฏิบัติงาน|ใน|ต่างแดน| |ปฏิบัติหน้าที่|การงาน|ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่นๆ,"senior government official , c.e.o. of the government .",activities of this unit include executive and implementation of policies within the boundaries of the law and regulations laid out by the regulations and regulations relevant to the duties imposed on government officials state government or in other government agencies public or public government agencies such as public health care public health care and supervision of government policies and the implementation of policies as well as the provision of foreign care and supervision of other workers,ปฏิบัติงาน|เป็นไปตามนโยบาย|รัฐบาล|หน่วยนี้|ปฏิบัติหน้าที่การงาน|ผู้บริหาร|กฎ|รัฐวิสาหกิจ|หน่วยงาน|รัฐอื่นๆ|การคลัง|การสาธารณสุข|การศึกษา|แรงงาน,perform a mission|follow the policy|government .|this unit .|carry out one &apos; s duties|executive|rules .|state enterprises|the agency .|other states|finance .|public health|education .|labour .
1130,ผู้นำท้องถิ่น ชุมชน,ผู้นำ|ท้องถิ่น| |ชุมชน,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้นำของสมาชิกในชุมชนท้องถิ่น ทำหน้าที่บริหารและพัฒนา ท้องถิ่น ให้ความร่วมมือกับทางราชการในการรักษาความสงบเรียบร้อย สุขภาพอนามัย การประกอบอาชีพของประชาชนในชุมชน เป็นตัวแทนในการแจ้งข่าวสารเกี่ยวกับกฎหมายหรือระเบียบของทางราชการ งานประเพณีและเรื่องอื่นๆ ให้แก่ชุมชนหรือหมู่บ้านได้รับทราบโดยทั่วกัน ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่น ๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้นำ|ของ|สมาชิก|ใน|ชุมชน|ท้องถิ่น| |ทำหน้าที่|บริหาร|และ|พัฒนา| |ท้องถิ่น| |ให้ความร่วมมือ|กับ|ทางราชการ|ใน|การรักษา|ความสงบเรียบร้อย| |สุขภาพ|อนามัย| |การ|ประกอบอาชีพ|ของ|ประชาชน|ใน|ชุมชน| |เป็นตัวแทน|ใน|การ|แจ้ง|ข่าวสาร|เกี่ยวกับ|กฎหมาย|หรือ|ระเบียบ|ของ|ทางราชการ| |งาน|ประเพณี|และ|เรื่อง|อื่นๆ| |ให้|แก่|ชุมชน|หรือ|หมู่บ้าน|ได้|รับทราบ|โดย|ทั่วกัน| |ปฏิบัติหน้าที่|การงาน|ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่น| |ๆ,"local leaders , community leaders .","a group of activities in this unit are the leaders of local community who cooperate with local authority to maintain the occupational health and occupational health and occupational health in the community represent the reporting of laws and regulations to the community or to the villagers or to the villagers , as well as to the general functioning and supervision of other workers",ทางราชการ|ชุมชน|หน่วยนี้|ปฏิบัติหน้าที่การงาน|ผู้นำ|ทั่วกัน|สมาชิก|ชุมชนท้องถิ่น|ทำหน้าที่บริหาร|พัฒนา,official|the community .|this unit .|carry out one &apos; s duties|a leader .|in general|member .|local community|be on the board of directors|develop
1141,เจ้าหน้าที่บริหารพรรคการเมือง,เจ้าหน้าที่|บริหาร|พรรคการเมือง,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้กำหนดนโยบาย กฎ ข้อบังคับและระเบียบ ต่าง ๆ ของพรรคการเมือง วางแผนและควบคุมการดำเนินงานให้บรรลุวัตถุประสงค์ เป้าหมายและนโยบายของพรรคการเมือง เป็นตัวแทนพรรคการเมือง ในการเจรจา ทำความตกลงกับองค์กรหรือบุคคลที่เกี่ยวข้อง วางแผนและรณรงค์เพื่อการเลือกตั้งผู้สมัครของพรรคการเมือง สรรหาและให้ความรู้แก่สมาชิกพรรคการเมือง เผยแพร่ ประชาสัมพันธ์ ข้อมูล ข่าวสารของพรรคการเมือง กำกับดูแล ปกครองบังคับบัญชาเจ้าหน้าที่ของพรรคการเมืองให้ปฏิบัติงานตามนโยบาย กฎ ระเบียบและข้อบังคับของพรรค ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้กำหนด|นโยบาย| |กฎ| |ข้อบังคับ|และ|ระเบียบ| |ต่าง ๆ| |ของ|พรรคการเมือง| |วางแผน|และ|ควบคุม|การ|ดำเนินงาน|ให้|บรรลุ|วัตถุประสงค์| |เป้าหมาย|และ|นโยบาย|ของ|พรรคการเมือง| |เป็นตัวแทน|พรรคการเมือง| |ใน|การ|เจรจา| |ทำ|ความตกลง|กับ|องค์กร|หรือ|บุคคล|ที่|เกี่ยวข้อง| |วางแผน|และ|รณรงค์|เพื่อ|การเลือกตั้ง|ผู้สมัคร|ของ|พรรคการเมือง| |สรรหา|และ|ให้ความรู้|แก่|สมาชิก|พรรคการเมือง| |เผยแพร่| |ประชาสัมพันธ์| |ข้อมูล| |ข่าวสาร|ของ|พรรคการเมือง| |กำกับ|ดูแล| |ปกครอง|บังคับบัญชา|เจ้าหน้าที่|ของ|พรรคการเมือง|ให้|ปฏิบัติงาน|ตาม|นโยบาย| |กฎ| |ระเบียบ|และ|ข้อบังคับ|ของ|พรรค| |ปฏิบัติหน้าที่|การงาน|ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่นๆ,a political party official,a group of activities in this unit group includes the policy-making process and supervision of the party &apos; s implementation of objectives and policies of representatives of the political party to negotiate an agreement with the parties or to plan an election for the political party &apos; s candidate and to instruct the party &apos; s political party &apos; s information governing body to act according to the rules and regulations of the party and to take control over its staff,พรรคการเมือง|วางแผน|นโยบาย|กฎ|ข้อบังคับ|ระเบียบ|หน่วยนี้|ปฏิบัติหน้าที่การงาน|ทำความตกลง|สมาชิกพรรคการเมือง|เผยแพร่|ประชาสัมพันธ์,a political party|make a plan|policy .|rules .|regulations|order !|this unit .|carry out one &apos; s duties|deal .|a party member|publish|public relations
1142,ผู้บริหารองค์กรนายจ้าง องค์กรลูกจ้างและองค์กรที่มีผลประโยชน์ เชิงเศรษฐกิจอื่น,ผู้บริหาร|องค์กร|นายจ้าง| |องค์กร|ลูกจ้าง|และ|องค์กร|ที่|มี|ผลประโยชน์| |เชิงเศรษฐกิจ|อื่น,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้กำหนดนโยบาย กฎระเบียบและข้อบังคับของ องค์กร เป็นตัวแทนในการเจรจาต่อรองกับบุคคลหรือองค์กรอื่นๆ เพื่อผลประโยชน์ขององค์กร เผยแพร่ ข้อมูลข่าวสารขององค์กร วางแผน จัดระบบ เพื่อสรรหาและให้ความรู้แก่สมาชิกองค์กร กำกับ ดูแล ปกครองบังคับบัญชาเจ้าหน้าที่ขององค์กรให้ปฏิบัติงานตามนโยบาย กฎระเบียบ และข้อบังคับขององค์กร ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้กำหนด|นโยบาย| |กฎระเบียบ|และ|ข้อบังคับ|ของ| |องค์กร| |เป็นตัวแทน|ใน|การเจรจาต่อรอง|กับ|บุคคล|หรือ|องค์กร|อื่นๆ| |เพื่อ|ผลประโยชน์|ของ|องค์กร| |เผยแพร่| |ข้อมูลข่าวสาร|ของ|องค์กร| |วางแผน| |จัดระบบ| |เพื่อ|สรรหา|และ|ให้ความรู้|แก่|สมาชิก|องค์กร| |กำกับ| |ดูแล| |ปกครอง|บังคับบัญชา|เจ้าหน้าที่|ของ|องค์กร|ให้|ปฏิบัติงาน|ตาม|นโยบาย| |กฎระเบียบ| |และ|ข้อบังคับ|ของ|องค์กร| |ปฏิบัติหน้าที่|การงาน|ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่นๆ,"management , employers , employees , employees and other economic interests",activities of this unit group include policies rules and regulations to representatives on behalf of individuals or other organizations for the benefit of the association of information organizations planning organizing and directing members to the governing body members and the governing body to act according to the rules and regulations of the relevant and supervision of other workers,องค์กร|กฎระเบียบ|หน่วยนี้|ปฏิบัติหน้าที่การงาน|บุคคล|สรรหา|ให้ความรู้|สมาชิกองค์กร|กำกับ,an organization .|rules .|this unit .|carry out one &apos; s duties|a person .|be in search of|educate|members of the company|direct
1143,ผู้บริหารองค์กรด้านมนุษยธรรมและองค์กรเฉพาะด้าน,ผู้บริหาร|องค์กร|ด้าน|มนุษยธรรม|และ|องค์กร|เฉพาะ|ด้าน,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้ที่ทำหน้าที่กำหนดนโยบาย กฎ ระเบียบและ ข้อบังคับของ องค์กร เป็นตัวแทนในการเจรจาต่อรองกับองค์กรหรือบุคคล เพื่อประโยชน์ขององค์กร สมาชิกองค์กรหรือกลุ่ม เผยแพร่ประชาสัมพันธ์ข้อมูลข่าวสารขององค์กร วางแผนจัดระบบเพื่อสรรหาสมาชิกและให้ความรู้แก่สมาชิกขององค์กร กำกับ ดูแล ปกครองบังคับบัญชา เจ้าหน้าที่ขององค์กรให้ปฏิบัติงานตามนโยบาย กฎ และระเบียบขององค์กร ปฏิบัติหน้าที่การงาน ที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้|ที่|ทำหน้าที่|กำหนด|นโยบาย| |กฎ| |ระเบียบ|และ| |ข้อบังคับ|ของ| |องค์กร| |เป็นตัวแทน|ใน|การเจรจาต่อรอง|กับ|องค์กร|หรือ|บุคคล| |เพื่อประโยชน์ของ|องค์กร| |สมาชิก|องค์กร|หรือ|กลุ่ม| |เผยแพร่|ประชาสัมพันธ์|ข้อมูลข่าวสาร|ของ|องค์กร| |วางแผน|จัดระบบ|เพื่อ|สรรหา|สมาชิก|และ|ให้ความรู้|แก่|สมาชิก|ของ|องค์กร| |กำกับ| |ดูแล| |ปกครอง|บังคับบัญชา| |เจ้าหน้าที่|ของ|องค์กร|ให้|ปฏิบัติงาน|ตาม|นโยบาย| |กฎ| |และ|ระเบียบ|ของ|องค์กร| |ปฏิบัติหน้าที่|การงาน| |ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่นๆ,corporate and specialized management of humanitarian organizations,a group of activities in this unit group includes a group of individuals who act in accordance with policy regulations and regulations as representatives of the organization or as a member of the public relations organization or in public relations of the organization plan to organize and provide instruction for members of the governing body and the governing body to act according to the rules and regulations of the organization and supervision of other workers,องค์กร|กฎ|หน่วยนี้|ระเบียบ|ปฏิบัติหน้าที่การงาน,an organization .|rules .|this unit .|order !|carry out one &apos; s duties
1144,ผู้บริหารองค์กรที่ทำหน้าที่ตรวจสอบตามรัฐธรรมนูญ,ผู้บริหาร|องค์กร|ที่|ทำหน้าที่|ตรวจสอบ|ตาม|รัฐธรรมนูญ,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้บริหารในองค์กรต่างๆ ที่ทำหน้าที่ตรวจสอบตามรัฐธรรมนูญ ควบคุม กำกับ ตรวจสอบและเสนอความเห็น ตลอดจนใช้มาตรการที่เหมาะสมตามที่กฎหมายให้อำนาจไว้เกี่ยวกับการเลือกตั้งสมาชิกสภาผู้แทนราษฎร สมาชิกวุฒิสภาและอื่น ๆ การปฏิบัติหน้าที่โดยมิชอบหรือละเลยการปฏิบัติหน้าที่ของข้าราชการ พนักงานหรือลูกจ้างของหน่วยราชการ หน่วยงานของรัฐ หรือรัฐวิสาหกิจ การละเมิดสิทธิมนุษยชน การตรวจเงินแผ่นดิน การป้องกันและ ปราบปรามการทุจริตต่อหน้าที่ราชการและ หน้าที่อื่นๆ ตามที่กฎหมายบัญญัติ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้บริหาร|ใน|องค์กร|ต่างๆ| |ที่|ทำหน้าที่|ตรวจสอบ|ตาม|รัฐธรรมนูญ| |ควบคุม| |กำกับ| |ตรวจสอบ|และ|เสนอ|ความเห็น| |ตลอดจน|ใช้|มาตรการ|ที่|เหมาะสม|ตามที่|กฎหมาย|ให้อำนาจ|ไว้|เกี่ยวกับ|การเลือกตั้ง|สมาชิกสภาผู้แทนราษฎร| |สมาชิกวุฒิสภา|และ|อื่น| |ๆ| |การ|ปฏิบัติหน้าที่|โดยมิชอบ|หรือ|ละเลย|การ|ปฏิบัติหน้าที่|ของ|ข้าราชการ| |พนักงาน|หรือ|ลูกจ้าง|ของ|หน่วยราชการ| |หน่วยงาน|ของ|รัฐ| |หรือ|รัฐวิสาหกิจ| |การ|ละเมิด|สิทธิมนุษยชน| |การ|ตรวจ|เงิน|แผ่นดิน| |การป้องกัน|และ| |ปราบปราม|การ|ทุจริตต่อหน้าที่|ราชการ|และ| |หน้าที่|อื่นๆ| |ตามที่|กฎหมาย|บัญญัติ,constitutional administrator,"activities of this unit group carried out as representatives of the constituencies governing the proceedings and providing appropriate measures concerning elections , as well as for other members of parliament , members of parliament , and other members of the government ’ s office , or on behalf of employees , government officials or government officials , or state officials ’ capacity , and violations of human rights , and the defence of the land , defence and corruption , and other legal functions as prescribed by law",ตรวจสอบ|หน่วยนี้|หน้าที่อื่นๆ|ทุจริตต่อหน้าที่ราชการ|ผู้บริหาร|เหมาะสม|กฎหมายให้อำนาจ|เกี่ยวกับการเลือกตั้งสมาชิกสภาผู้แทนราษฎร|สมาชิกวุฒิสภา|ปฏิบัติหน้าที่โดยมิชอบ|ละเลย|ปฏิบัติหน้าที่|ข้าราชการ|พนักงาน|ลูกจ้าง|หน่วยราชการ|หน่วยงาน|รัฐ|รัฐวิสาหกิจ|ละเมิดสิทธิมนุษยชน|ตรวจเงินแผ่นดิน|การป้องกัน|ปราบปราม,check .|this unit .|other duties|the corruption on the government|executive|that &apos;s right .|the law gave the power .|it &apos;s about the house of representatives .|- senator .|be on the wrong side of the line|ignore|discharge one &apos; s duties|a civil servant|staff .|an employee .|secret service|the agency .|state .|state enterprises|violate human rights|check the land .|protection .|get down !
1150,เจ้าหน้าที่ของรัฐ,เจ้าหน้าที่ของรัฐ,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้ที่ดำเนินการตามลักษณะงานในหน่วยงานของรัฐประเภทต่าง ๆ ให้เป็นไปตามวัตถุประสงค์ เป้าหมายของหน่วยงาน องค์กร และนโยบายของ รัฐบาล ปฏิบัติงานตามภารกิจที่ได้รับมอบหมายภายใต้ กฎ ระเบียบ ข้อบังคับ และกฎหมาย เพื่อรักษาผลประโยชน์ของส่วนรวม รวมทั้งอำนวยความสะดวก และให้บริการประชาชน ปฏิบัติหน้าที่ การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่น ๆ,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้|ที่|ดำเนิน|การตาม|ลักษณะ|งาน|ใน|หน่วยงาน|ของ|รัฐ|ประเภท|ต่าง ๆ| |ให้|เป็นไปตาม|วัตถุประสงค์| |เป้าหมาย|ของ|หน่วยงาน| |องค์กร| |และ|นโยบาย|ของ| |รัฐบาล| |ปฏิบัติงาน|ตาม|ภารกิจ|ที่|ได้|รับมอบหมาย|ภายใต้| |กฎ| |ระเบียบ| |ข้อบังคับ| |และ|กฎหมาย| |เพื่อ|รักษาผลประโยชน์|ของ|ส่วนรวม| |รวมทั้ง|อำนวยความสะดวก| |และ|ให้บริการ|ประชาชน| |ปฏิบัติหน้าที่| |การงาน|ที่|เกี่ยวข้อง|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|อื่น| |ๆ,federal agents !,"activities of this unit include those who carry out the characteristics of different types of government agencies , organizations and government policies , perform tasks carried out by the government ’ s and its policies , on the basis of the provision of the law and the provision of the provision of government and for the benefit of the public , and provide related and supervision of other workers",หน่วยงาน|หน่วยนี้|การงาน|ปฏิบัติหน้าที่|ดำเนินการตามลักษณะ|รัฐบาล|ปฏิบัติงาน|ภารกิจ|รับมอบหมายภายใต้|กฎ|ระเบียบ|ข้อบังคับ|กฎหมาย|รักษาผลประโยชน์|ส่วนรวม|รวมทั้งอำนวยความสะดวก|ให้บริการประชาชน,the agency .|this unit .|the job .|discharge one &apos; s duties|carry out one &apos; s manner|government .|perform a mission|mission .|be assigned under|rules .|order !|regulations|the law .|for the sake of|in the game|including the facility .|serve the public
1210,กรรมการและผู้บริหารระดับสูง กรรมการและผู้จัดการใหญ่ กรรมการบริหาร,กรรมการ|และ|ผู้บริหารระดับสูง| |กรรมการ|และ|ผู้จัดการ|ใหญ่| |กรรม|การบริหาร,ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้ที่ทำหน้าที่เป็นผู้บริหารของบริษัทหรือองค์กร ยกเว้นองค์กรที่มีผลประโยชน์เฉพาะอย่าง ที่มีกรรมการผู้จัดการอย่างน้อย 2 คน เป็นที่ปรึกษาและช่วยเหลือในการตัดสินใจและกำหนดนโยบายของบริษัทหรือองค์กร วางแผน ประสานงานและควบคุมดูแลการปฏิบัติงานของเจ้าหน้าที่ในองค์กร ปรึกษาหารือกับกรรมการผู้จัดการเพื่อร่วมกันกำหนดนโยบายเฉพาะกิจ เป็นตัวแทนของบริษัทหรือองค์กรในการเจรจาตกลงทางธุรกิจกับหน่วยงานภายนอก รัฐบาล หรือผู้บริหารหน่วยงานต่างๆ ปฏิบัติหน้าที่การงานและควบคุมดูแลผู้ปฏิบัติงานที่เกี่ยวข้อง,ผู้ปฏิบัติ|งานอาชีพ|ใน|หน่วย|นี้| |ได้แก่| |ผู้|ที่|ทำหน้าที่|เป็น|ผู้บริหาร|ของ|บริษัท|หรือ|องค์กร| |ยกเว้น|องค์กร|ที่|มี|ผลประโยชน์|เฉพาะ|อย่าง| |ที่|มี|กรรมการผู้จัดการ|อย่าง|น้อย| |2| |คน| |เป็น|ที่ปรึกษา|และ|ช่วยเหลือ|ใน|การตัดสินใจ|และ|กำหนด|นโยบาย|ของ|บริษัท|หรือ|องค์กร| |วางแผน| |ประสานงาน|และ|ควบคุม|ดูแล|การ|ปฏิบัติงาน|ของ|เจ้าหน้าที่|ใน|องค์กร| |ปรึกษาหารือ|กับ|กรรมการผู้จัดการ|เพื่อ|ร่วมกัน|กำหนด|นโยบาย|เฉพาะกิจ| |เป็นตัวแทน|ของ|บริษัท|หรือ|องค์กร|ใน|การ|เจรจา|ตกลง|ทาง|ธุรกิจ|กับ|หน่วยงาน|ภายนอก| |รัฐบาล| |หรือ|ผู้บริหาร|หน่วยงาน|ต่างๆ| |ปฏิบัติหน้าที่|การงาน|และ|ควบคุม|ดูแล|ผู้ปฏิบัติงาน|ที่|เกี่ยวข้อง,"chief executive and chief executive and chief executive officer , executive director","working activities in this unit include those who serve as directors of the company or organizations , except for the sole managing directors , who are at least 20 managing directors , and assist with decisions and policies of the company , who plan and coordinate the activities of the organization , who coordinate and supervise the activities of the activities of managing directors and managing the activities of the board of directors and managing directors with the company",องค์กร|บริษัท|ปฏิบัติหน้าที่การงาน|หน่วยนี้|ผู้บริหารหน่วยงานต่างๆ|มีกรรมการผู้จัดการ|คน|เป็นที่ปรึกษา|ช่วยเหลือ|ควบคุมดูแล|ร่วมกันกำหนดนโยบาย|หน่วยงาน|รัฐบาล,"an organization .|a company .|carry out one &apos; s duties|this unit .|the director of various agencies .|there is a managing director .|39,870|he &apos;s a consultant .|help .|take charge of sth|form a policy|the agency .|government ."
1221,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านเกษตรกรรม การล่าสัตว์ การป่าไม้ และการประมง,ผู้จัดการฝ่ายผลิต|และ|ปฏิบัติการ|ด้าน|เกษตรกรรม| |การล่าสัตว์| |การ|ป่าไม้| |และ|การประมง, , ,"agricultural and operation operations , hunting , forestry and fishing operations",i &apos;m sorry .,,i &apos;m sorry .
