code,title,title_tokenized,description,description_tokenized,title_en,description_en,kw,kw_en
0111,การปลูกธัญพืช ยกเว้น ข้าว พืชตระกูลถั่วและพืชน้ำมัน,การ|ปลูก|ธัญพืช| |ยกเว้น| |ข้าว| |พืช|ตระกูล|ถั่ว|และ|พืช|น้ำมัน,หมู่ย่อยนี้รวมถึงการปลูกธัญพืชในทุกรูปแบบ พืชตระกูลถั่วและพืชน้ำมัน รวมทั้งการทำ เกษตรอินทรีย์และการปลูกพืชที่มีการตัดแต่งพันธุกรรม การปลูกพืชต่าง ๆ เหล่านี้รวมอยู่ ในกลุ่มของเกษตรกรรม รวมถึงการปลูกธัญพืช เช่น ข้าวสาลีข้าวโพด ข้าวฟ่าง ข้าวบาร์เลย์ ข้าวไรย์ ข้าวโอ๊ต ลูกเดือยและธัญพืชอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น การปลูกพืชตระกูลถั่ว เช่น ถั่วสด ถั่วปากอ้า ชิคพี คาวพี ถั่วเลนทิล ถั่วลูพิน ถั่วพีเจียน และพืชอื่นในประเภท เดียวกัน การปลูกพืชน้ำมัน เช่น ถั่วเหลือง ถั่วลิสง เมล็ดฝ้าย เมล็ดละหุ่ง เมล็ดของ ต้นแฟลกซ์ มัสตาร์ด เมล็ดไนเจอร์ เมล็ดเรพ เมล็ดดอกคำฝอย เมล็ดงา เมล็ดทานตะวัน และเมล็ดพืชอื่น ๆ ที่ให้น้ำมัน แต่ไม่รวมถึง การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูหมู่ย่อย 0119,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|ธัญพืช|ใน|ทุก|รูปแบบ| |พืช|ตระกูล|ถั่ว|และ|พืช|น้ำมัน| |รวมทั้ง|การ|ทำ| |เกษตร|อินทรีย์|และ|การ|ปลูก|พืช|ที่|มี|การ|ตัดแต่ง|พันธุกรรม| |การ|ปลูก|พืช|ต่าง ๆ| |เหล่านี้|รวม|อยู่| |ใน|กลุ่ม|ของ|เกษตรกรรม| |รวมถึง|การ|ปลูก|ธัญพืช| |เช่น| |ข้าวสาลี|ข้าวโพด| |ข้าวฟ่าง| |ข้าวบาร์เลย์| |ข้าวไรย์| |ข้าวโอ๊ต| |ลูกเดือย|และ|ธัญพืช|อื่น| |ๆ| |ซึ่ง|มิได้|จัด|ประเภท|ไว้|ใน|ที่อื่น| |การ|ปลูก|พืช|ตระกูล|ถั่ว| |เช่น| |ถั่ว|สด| |ถั่ว|ปาก|อ้า| |ชิค|พี| |คาว|พี| |ถั่ว|เลน|ทิล| |ถั่ว|ลูพิน| |ถั่ว|พี|เจียน| |และ|พืช|อื่น|ใน|ประเภท| |เดียวกัน| |การ|ปลูก|พืช|น้ำมัน| |เช่น| |ถั่วเหลือง| |ถั่วลิสง| |เมล็ด|ฝ้าย| |เมล็ด|ละหุ่ง| |เมล็ด|ของ| |ต้น|แฟลกซ์| |มัสตาร์ด| |เมล็ด|ไนเจอร์| |เมล็ด|เร|พ| |เมล็ด|ดอก|คำฝอย| |เมล็ด|งา| |เมล็ด|ทานตะวัน| |และ|เมล็ด|พืช|อื่น| |ๆ| |ที่|ให้|น้ำมัน| |แต่|ไม่|รวมถึง| |การ|ปลูก|ข้าวโพด|ที่|ใช้|เป็น|อาหารสัตว์|ดู|หมู่|ย่อย| |0119,"growing of cereals except rice , leguminous crops and oil plants","this class includes the growing of cereals , legumes , and oil seeds , as well as the growing of organic crops , and the growing of these genetically modified crops , including wheat , barley , millet , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice , rice and other kinds of crops such as beans , beans , beans , beans , beans , lentils , lentils , beans , beans , rice , rice , rice seeds , seeds , seeds , seeds , seeds , etc . , etc . , etc . , etc . , etc .",ปลูกธัญพืช|ใช้เป็นอาหารสัตว์|ปลูกข้าวโพด|พืชน้ำมัน|ทำ|เกษตรอินทรีย์|ปลูกพืช|ตัดแต่งพันธุกรรม|ปลูกพืชต่าง ๆ|ข้าวบาร์เลย์|ข้าวไรย์|ข้าวโอ๊ต|ลูกเดือย|ธัญพืชอื่น|จัดประเภทไว้|ที่อื่น|ปลูกพืชตระกูลถั่ว|ถั่วสด|ถั่วปากอ้า|ชิคพี|คาวพี|ถั่วเลนทิล|ถั่วลูพิน|ถั่วพีเจียน|พืชอื่น|ประเภท|ปลูกพืชน้ำมัน|ถั่วเหลือง|ถั่วลิสง|เมล็ดฝ้าย|เมล็ดละหุ่ง|เมล็ด|ต้นแฟลกซ์|มัสตาร์ด|เมล็ดไนเจอร์|เมล็ดเร|เมล็ดดอกคำฝอย|เมล็ดงา|เมล็ดทานตะวัน|เมล็ดพืช|น้ำมัน,"grow grain|feed on animals|grow corn|oil crops|- yeah .|organic agriculture .|grow a plant|genetically modified|grow a different crop|barley !|rye .|oatmeal|spurs|other cereal .|sort out|somewhere else .|grow a leguminous family|fresh peas .|the peas are ... open ...|&quot; chick &quot; ?|bull !|beans , lentils .|lentils|pigeon peas|other plants .|mime types|cultivate oil plants|soybean :|peanuts .|cotton seeds|castor bean|seeds ?|linseed|mustard seed|niger seed|rhesus seeds|safflower seed|sesame seed|sunflower seed|seeds ?|oil ."
0112,การปลูกข้าว,การ|ปลูก|ข้าว,หมู่ย่อยนี้รวมถึงการปลูกข้าว การปลูกข้าวอินทรีย์และการปลูกข้าวตัดแต่งพันธุกรรม,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|ข้าว| |การ|ปลูก|ข้าว|อินทรีย์|และ|การ|ปลูก|ข้าว|ตัดแต่ง|พันธุกรรม,the cultivation of rice,this class includes the growing of rice growing of organic rice and growing of genetically modified rice,ปลูกข้าว|ปลูกข้าวตัดแต่ง|ปลูกข้าวอินทรีย์,grow rice|grow rice and trim|grow organic rice
0113,การปลูกพืชผัก แตงและพืชหัว,การ|ปลูก|พืชผัก| |แตง|และ|พืช|หัว,หมู่ย่อยนี้รวมถึงการปลูกพืชผักกินใบและพืชผักกินต้น เช่น ผักกาด ผักคะน้า หน่อไม้ฝรั่ง กะหล่ำปลีดอกกะหล่ำ บรอคโคลีผักสลัด ผักโขม พืชผักกินใบ และพืชผักกินต้นอื่น ๆ การปลูกพืชผักกินผล เช่น การปลูกแตงร้าน แตงกวา และมะเขือยาว มะเขือเทศ แตงโม แคนตาลูป รวมทั้งแตงและพืชผักกินผลชนิดอื่น ๆ การปลูกพืชหัว เช่น แครอท เทอร์นิป กระเทียม หอม หอมหัวใหญ่ หอมแดง รวมทั้งพืชจำพวกรากและจำพวกหัวชนิดอื่น ๆ การเพาะเห็ดและเห็ดทรัฟเฟิล การปลูกพืชที่มีเมล็ด ยกเว้น เมล็ดหัวผักกาด การปลูก ชูการ์บีท การปลูกพืชผักชนิดอื่น ๆ การปลูกพืชจำพวกรากและหัว เช่น มันฝรั่ง มันเทศ มันสำปะหลัง และพืชจำพวกรากและหัวชนิดอื่น ๆ แต่ไม่รวมถึง การเพาะเชื้อเห็ด ดูหมู่ย่อย 0130 การปลูกพริกและพริกไทย รวมทั้งเครื่องเทศและเครื่องหอมชนิดอื่น ๆ ดูหมู่ย่อย 0128,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|พืชผัก|กิน|ใบ|และ|พืชผัก|กิน|ต้น| |เช่น| |ผักกาด| |ผัก|คะน้า| |หน่อไม้ฝรั่ง| |กะหล่ำปลี|ดอก|กะหล่ำ| |บร|อค|โค|ลี|ผักสลัด| |ผักโขม| |พืชผัก|กิน|ใบ| |และ|พืชผัก|กิน|ต้น|อื่น| |ๆ| |การ|ปลูก|พืชผัก|กิน|ผล| |เช่น| |การ|ปลูก|แตง|ร้าน| |แตงกวา| |และ|มะเขือ|ยาว| |มะเขือเทศ| |แตงโม| |แคนตาลูป| |รวมทั้ง|แตง|และ|พืชผัก|กิน|ผล|ชนิด|อื่น| |ๆ| |การ|ปลูก|พืช|หัว| |เช่น| |แครอท| |เท|อร|์|นิ|ป| |กระเทียม| |หอม| |หอมหัวใหญ่| |หอมแดง| |รวมทั้ง|พืช|จำพวก|ราก|และ|จำพวก|หัว|ชนิด|อื่น| |ๆ| |การ|เพาะ|เห็ด|และ|เห็ด|ทรัฟเฟิล| |การ|ปลูก|พืช|ที่|มี|เมล็ด| |ยกเว้น| |เมล็ด|หัวผักกาด| |การ|ปลูก| |ชู|การ|์|บีท| |การ|ปลูก|พืชผัก|ชนิด|อื่น| |ๆ| |การ|ปลูก|พืช|จำพวก|ราก|และ|หัว| |เช่น| |มันฝรั่ง| |มันเทศ| |มันสำปะหลัง| |และ|พืช|จำพวก|ราก|และ|หัว|ชนิด|อื่น| |ๆ| |แต่|ไม่|รวมถึง| |การ|เพาะเชื้อ|เห็ด| |ดู|หมู่|ย่อย| |0130| |การ|ปลูก|พริก|และ|พริกไทย| |รวมทั้ง|เครื่องเทศ|และ|เครื่องหอม|ชนิด|อื่น| |ๆ| |ดู|หมู่|ย่อย| |0128,growing of vegetables and melons,"this class includes the growing of vegetables , vegetable , vegetable , vegetable , vegetable , lettuce , cabbage , lettuce , lettuce , lettuce , lettuce , lettuce , vegetable , vegetable , and other vegetables , vegetables such as the growing of cucumbers , cucumbers , cucumbers , tomatoes , melons , tomatoes , tomatoes , onions , onions , onions , onions , onions , onions , onions , vegetables and other kinds of vegetables , vegetables and other kinds of mushroom roots and mushroom plants .",ปลูกพืชผักกิน|พืชผักกินต้น|ดูหมู่ย่อย|หน่อไม้ฝรั่ง|กะหล่ำปลีดอกกะหล่ำ|บรอคโคลี|ผักสลัด|มะเขือยาว|มะเขือเทศ|แตงโม|แคนตาลูป|รวมทั้งแตง|พืชผักกินผล|ชนิดอื่น|ปลูกพืชหัว|แครอท|เทอรนิ|กระเทียม|หอม|หอมหัวใหญ่|หอมแดง|รวมทั้งพืชจำพวกราก|จำพวกหัวชนิด|เพาะเห็ด|เห็ดทรัฟเฟิล|ปลูกพืช|มีเมล็ด|ยกเว้น|เมล็ดหัวผักกาด|ปลูก|ชู|บีท|ปลูกพืชผักชนิด|ปลูกพืชจำพวกราก|หัว|มันฝรั่ง|มันเทศ|มันสำปะหลัง|พืชจำพวกราก,"grow a garden of edible vegetables|leafy vegetables|watch the subgroup .|asparagus .|cabbage , cauliflower .|- broccoli|lettuce for the salad|eggplant|tomatoes .|a watermelon .|cantaloupe|included is the melon .|a crop of vegetables|other kind .|grow a plant of heads|carrots .|turniin .|garlic|smells good .|onion on the head|red ‘ glass|including root plants .|kind of like heads .|grow mushrooms|truffles|grow a plant|there are seeds .|except ...|beet seeds|grow|shh .|beets !|grow two kinds of vegetables|grow a root crop|heads .|potatoes .|sweet potatoes .|cassava|root plant"
0114,การปลูกอ้อย,การ|ปลูก|อ้อย,การปลูกอ้อยเคี้ยวหรืออ้อยโรงงาน แต่ไม่รวมถึง การปลูกชูการ์บีท ดูกิจกรรม 01139,การ|ปลูก|อ้อย|เคี้ยว|หรือ|อ้อย|โรงงาน| |แต่|ไม่|รวมถึง| |การ|ปลูก|ชู|การ|์|บีท| |ดู|กิจกรรม| |01139,growing of sugar cane,"and with which the cane was grown , and with which the cane was made , and not with which the solong crop was grown , and with which lagri was not included .",อ้อยโรงงาน|บีท|ปลูกชู,a factory cane|beets !|grow shu
0115,การปลูกยาสูบ,การ|ปลูก|ยาสูบ,การปลูกยาสูบซึ่งมิได้ใช้ในโรงงานอุตสาหกรรม ก้านใบยา ยาเส้นที่ผ่านการบ่มแล้ว,การ|ปลูก|ยาสูบ|ซึ่ง|มิได้|ใช้|ใน|โรงงานอุตสาหกรรม| |ก้าน|ใบยา| |ยาเส้น|ที่|ผ่าน|การบ่ม|แล้ว,growing of tobacco,growing of unmanufactured tobacco,โรงงานอุตสาหกรรม|ยาเส้น|ก้านใบยา,an industrial plant|a tobacco pipe|- it &apos;s a drug supply chain .
0116,การปลูกพืชเส้นใย,การ|ปลูก|พืช|เส้นใย,หมู่ย่อยนี้รวมถึงการปลูกฝ้าย ปอกระเจา ปอแก้ว และพืชอื่น ๆ ที่ให้เส้นใยเพื่อทำสิ่งทอ การปลูกแฟลกส์และการปลูกป่านศรนารายณ์ ป่านมานิลา ป่านรามีและพืชอื่น ๆ ที่ให้ เส้นใยสิ่งทอ,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|ฝ้าย| |ปอ|กระเจา| |ปอ|แก้ว| |และ|พืช|อื่น| |ๆ| |ที่|ให้|เส้นใย|เพื่อ|ทำ|สิ่งทอ| |การ|ปลูก|แฟลกส์|และ|การ|ปลูก|ป่าน|ศรนารายณ์| |ป่าน|มา|นิ|ลา| |ป่า|นรา|มี|และ|พืช|อื่น| |ๆ| |ที่|ให้| |เส้นใย|สิ่งทอ,growing of fibre crops,"this class includes the growing of jute cotton jute and other materials for textile fibres , for textile fibres , for planting , for planting , for planting , for growing of corn , and for growing and other textile fibres",พืชอื่น|ปลูกฝ้าย|ปอกระเจา|ปลูกแฟลกส์|ปลูกป่านศรนารายณ์|ป่าน,other plants .|grow cotton|jute jute|grow a sex crop|growing of narai ’ s material|flax .
0119,การปลูกพืชล้มลุกชนิดอื่น ๆ,การ|ปลูก|พืชล้มลุก|ชนิด|อื่น| |ๆ,หมู่ย่อยนี้รวมถึงการปลูกพืชล้มลุกชนิดอื่น ๆ ทุกชนิดซึ่งมิได้จัดประเภทไว้ในที่อื่น เช่น การปลูกสวีด หัวแมนโกลด์ ใช้เลี้ยงสัตว์ พืชหัวสด โคลเวอร์ อัลฟาฟา ข้าวโพดและหญ้าชนิดอื่น ๆ ที่ใช้เป็นอาหารสัตว์การปลูก หัวผักกาดที่ให้เมล็ด ยกเว้น เมล็ดของชูการ์บีทและเมล็ดของพืชอื่น ๆ ที่ใช้เป็นอาหารสัตว์ การปลูกไม้ดอก การผลิตไม้ตัดดอกและกล้าไม้ดอก รวมทั้งการปลูกไม้ดอกเพื่อเก็บเมล็ด แต่ไม่รวมถึง การปลูกเมล็ดทานตะวัน ดูหมู่ย่อย 0111 การปลูกพืชล้มลุกที่เป็นเครื่องเทศ เครื่องหอม ยารักษาโรคและพืชทางเภสัชภัณฑ์ ดูหมู่ย่อย 0128,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|พืชล้มลุก|ชนิด|อื่น| |ๆ| |ทุกชนิด|ซึ่ง|มิได้|จัด|ประเภท|ไว้|ใน|ที่อื่น| |เช่น| |การ|ปลูก|ส|วี|ด| |หัว|แมน|โกลด์| |ใช้|เลี้ยงสัตว์| |พืช|หัว|สด| |โคล|เวอร์| |อัล|ฟา|ฟา| |ข้าวโพด|และ|หญ้า|ชนิด|อื่น| |ๆ| |ที่|ใช้|เป็น|อาหารสัตว์|การ|ปลูก| |หัวผักกาด|ที่|ให้|เมล็ด| |ยกเว้น| |เมล็ด|ของ|ชู|การ|์|บีท|และ|เมล็ด|ของ|พืช|อื่น| |ๆ| |ที่|ใช้|เป็น|อาหารสัตว์| |การ|ปลูก|ไม้ดอก| |การผลิต|ไม้|ตัด|ดอก|และ|กล้า|ไม้ดอก| |รวมทั้ง|การ|ปลูก|ไม้ดอก|เพื่อ|เก็บ|เมล็ด| |แต่|ไม่|รวมถึง| |การ|ปลูก|เมล็ด|ทานตะวัน| |ดู|หมู่|ย่อย| |0111| |การ|ปลูก|พืชล้มลุก|ที่|เป็น|เครื่องเทศ| |เครื่องหอม| |ยารักษาโรค|และ|พืช|ทาง|เภสัช|ภัณฑ์| |ดู|หมู่|ย่อย| |0128,growing of other non-perennial crops,"this class includes the growing of all other non-perennial crops , which are not classified elsewhere in such places as : the steppes , the roots , the roots , the roots , the roots , the face , the face , the face , the face , the face , the face of the face , the face of the face of the face , the face of the face of the face , the face of the face of the face of the turrinds , the ears of other plants , the face of the face of the ground , the turnids , the ears of the herbs and the herbs and the hollops .",เมล็ด|ปลูกไม้ดอก|ใช้เป็นอาหารสัตว์|ดูหมู่ย่อย|ปลูกพืชล้มลุกชนิด|ทุกชนิด|จัดประเภทไว้|ที่อื่น|ปลูกวี|หัวแมนโกลด์|ใช้เลี้ยงสัตว์|พืชหัวสด|โคลเวอร์|อัลฟาฟา|เครื่องหอม,seeds ?|grow a flower|feed on animals|watch the subgroup .|growing non-perennial crops|all kinds|sort out|somewhere else .|cultivate v|man gold .|use animals for livestock|fresh head plants .|clover ?|alpha ...|incense .
0121,การทำสวนองุ่น,การ|ทำสวน|องุ่น,การปลูกองุ่นในสวนเพื่อผลิตไวน์และรับประทานสด แต่ไม่รวมถึง การผลิตไวน์ดูหมู่ย่อย 1102,การ|ปลูก|องุ่น|ใน|สวน|เพื่อ|ผลิต|ไวน์|และ|รับประทาน|สด| |แต่|ไม่|รวมถึง| |การผลิต|ไวน์|ดู|หมู่|ย่อย| |1102,a vineyard .,"and with the production of wine , and with the production of wine , and with the portage of the one with the one end of the sea , and with the one end of the sea .",สวน|การผลิตไวน์ดู|ผลิตไวน์|รับประทานสด,the garden .|the production of wine looks like ...|make wine|eat fresh
0122,การปลูกไม้ผลเมืองร้อนและกึ่งร้อน,การ|ปลูก|ไม้|ผล|เมืองร้อน|และ|กึ่ง|ร้อน,หมู่ย่อยนี้รวมถึงการปลูกไม้ผลเมืองร้อนและกึ่งร้อน เช่น อโวคาโด กล้วย เพลนเทน อินทผาลัม มะเดื่อ มะม่วง มะละกอ สับปะรดและไม้ผลอื่น ๆ ที่เป็นไม้ผล เมืองร้อนและกึ่งร้อน,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|ไม้|ผล|เมืองร้อน|และ|กึ่ง|ร้อน| |เช่น| |อโวคาโด| |กล้วย| |เพ|ลน|เท|น| |อินทผาลัม| |มะเดื่อ| |มะม่วง| |มะละกอ| |สับปะรด|และ|ไม้|ผล|อื่น| |ๆ| |ที่|เป็น|ไม้|ผล| |เมืองร้อน|และ|กึ่ง|ร้อน,growing of tropical and subtropical fruits,"this class includes the growing of tropical and subtropical fruits , such as avocados , palm palms , pineapples , pineapples , pineapples , pineapples , and other fruits , tropical and subtropical fruits .",เมืองร้อน|ปลูกไม้ผล|กล้วย|เพลนเท|อินทผาลัม|มะเดื่อ|มะม่วง|มะละกอ|สับปะรด,a tropical country|plant fruit|- banana .|penicila ?|date palms|fig .|mangoes|papayas|pineapple .
0123,การปลูกไม้ผลตระกูลส้ม,การ|ปลูก|ไม้|ผล|ตระกูล|ส้ม,หมู่ย่อยนี้รวมถึงการปลูกไม้ผลตระกูลส้ม เช่น เกรปฟรุทและส้มโอ มะนาวและไลม์ ส้ม ส้มเขียวหวาน ส้มจีนและส้มคลีเมนไทล์รวมทั้งไม้ผลอื่น ๆ ในประเภทส้มและมะนาว,หมู่|ย่อย|นี้|รวมถึง|การ|ปลูก|ไม้|ผล|ตระกูล|ส้ม| |เช่น| |เก|รปฟ|รุ|ท|และ|ส้มโอ| |มะนาว|และ|ไลม์| |ส้ม| |ส้มเขียวหวาน| |ส้ม|จีน|และ|ส้ม|คลี|เมน|ไท|ล์|รวมทั้ง|ไม้|ผล|อื่น| |ๆ| |ใน|ประเภท|ส้ม|และ|มะนาว,growing of citrus fruits,this class includes the growing of fruit of the orange fruit i.e. the growing of fruit trees such as the olive oil and the lemon orange orange orange orange chinese and the orange clementine and other fruit trees in other kinds of oranges and lemons,ส้ม|มะนาว|ปลูกไม้ผลตระกูล|ส้มคลีเมนไท,orange .|lemons .|plant the family tree|oranges clementine .
