code,title,title_tokenized,description,description_tokenized,title_en,description_en,kw,kw_en
01111,การปลูกข้าวโพดที่ใช้เมล็ดแก่,การ|ปลูก|ข้าวโพด|ที่|ใช้|เมล็ด|แก่,การปลูกข้าวโพดที่เก็บเกี่ยวเมล็ดแก่มาใช้ประโยชน์เพื่อเป็นวัตถุดิบในการผลิต แป้ง น้ำมัน หรืออาหารเช้าจากธัญพืช คอร์นเฟล็กซ์ แต่ไม่รวมถึง การปลูกข้าวโพดที่กินฝักสด เช่น ข้าวโพดหวาน ข้าวโพดฝักอ่อน ดูกิจกรรม 01132 การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูกิจกรรม 01191,การ|ปลูก|ข้าวโพด|ที่|เก็บเกี่ยว|เมล็ด|แก่|มา|ใช้ประโยชน์|เพื่อ|เป็น|วัตถุดิบ|ใน|การผลิต| |แป้ง| |น้ำมัน| |หรือ|อาหารเช้า|จาก|ธัญพืช| |คอร์น|เฟล็กซ์| |แต่|ไม่|รวมถึง| |การ|ปลูก|ข้าวโพด|ที่|กิน|ฝัก|สด| |เช่น| |ข้าวโพด|หวาน| |ข้าวโพด|ฝัก|อ่อน| |ดู|กิจกรรม| |01132| |การ|ปลูก|ข้าวโพด|ที่|ใช้|เป็น|อาหารสัตว์|ดู|กิจกรรม| |01191,growing of corn on an old grain,"it didn &apos;t include the corn of corn , the maize , the corn , the croc , the corn , the corn , the corn , the corn , the green ears , the stuxnet , the stuxnet , the stuxnet , the stuxnet cultivation of corn that was part of the work of lagri .",ปลูกข้าวโพด|ดูกิจกรรม|เป็นวัตถุดิบ|การผลิต|แป้ง|น้ำมัน|อาหารเช้า,grow corn|watch the activity|it &apos;s a material .|manufacture of|flour .|oil .|breakfast .
01112,การปลูกธัญพืช ยกเว้น ข้าวและข้าวโพด,การ|ปลูก|ธัญพืช| |ยกเว้น| |ข้าว|และ|ข้าวโพด,การปลูกข้าวฟ่าง ข้าวสาลีข้าวบาร์เลย์ข้าวไรย์ข้าวโอ๊ต ลูกเดือย และธัญพืชอื่น ๆ แต่ไม่รวมถึง การปลูกข้าว ดูหมู่ย่อย 0112 การปลูกข้าวโพดที่ใช้เมล็ดแก่ ดูกิจกรรม 01111 การปลูกข้าวโพดที่กินฝักสด เช่น ข้าวโพดหวาน ข้าวโพดฝักอ่อน ดูกิจกรรม 01132 การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูกิจกรรม 01191,การ|ปลูก|ข้าวฟ่าง| |ข้าวสาลี|ข้าวบาร์เลย์|ข้าวไรย์|ข้าวโอ๊ต| |ลูกเดือย| |และ|ธัญพืช|อื่น| |ๆ| |แต่|ไม่|รวมถึง| |การ|ปลูก|ข้าว| |ดู|หมู่|ย่อย| |0112| |การ|ปลูก|ข้าวโพด|ที่|ใช้|เมล็ด|แก่| |ดู|กิจกรรม| |01111| |การ|ปลูก|ข้าวโพด|ที่|กิน|ฝัก|สด| |เช่น| |ข้าวโพด|หวาน| |ข้าวโพด|ฝัก|อ่อน| |ดู|กิจกรรม| |01132| |การ|ปลูก|ข้าวโพด|ที่|ใช้|เป็น|อาหารสัตว์|ดู|กิจกรรม| |01191,growing of cereals except rice and corn,"and not with the grain , nor with the grain , nor with the grain , nor with the grain , nor with the grain , nor with the stuxnet , with the corn , and with the grain , and with the grain , and with the grain , and with the grain , and with the poring of the corn , and with the stuye , and with that which is with the great corn , and with which is with the great corn , and with which is with which is with the great .",ปลูกข้าวโพด|ดูกิจกรรม|ข้าวสาลีข้าวบาร์เลย์ข้าวไรย์ข้าวโอ๊ต|ลูกเดือย|ธัญพืชอื่น,"grow corn|watch the activity|wheat , barley , rye , oats .|spurs|other cereal ."
01113,การปลูกพืชตระกูลถั่ว,การ|ปลูก|พืช|ตระกูล|ถั่ว,การปลูกถั่วเขียว ถั่วลันเตา ถั่วบีน ถั่วปากอ้า ถั่วหัวช้าง ถั่วมะแฮะ ถั่วสด ชิคพี คาวพี ถั่วเลนทิล ถั่วลูพิน ถั่วพีเจียน และพืชตระกูลถั่วอื่น ๆ แต่ไม่รวมถึง การปลูกถั่วเหลือง ดูกิจกรรม 01114 การปลูกถั่วลิสง ดูกิจกรรม 01115 การปลูกถั่วฝักยาว ถั่วแขก ดูกิจกรรม 01132,การ|ปลูก|ถั่วเขียว| |ถั่วลันเตา| |ถั่ว|บี|น| |ถั่ว|ปาก|อ้า| |ถั่ว|หัว|ช้าง| |ถั่ว|มะ|แฮะ| |ถั่ว|สด| |ชิค|พี| |คาว|พี| |ถั่ว|เลน|ทิล| |ถั่ว|ลูพิน| |ถั่ว|พี|เจียน| |และ|พืช|ตระกูล|ถั่ว|อื่น| |ๆ| |แต่|ไม่|รวมถึง| |การ|ปลูก|ถั่วเหลือง| |ดู|กิจกรรม| |01114| |การ|ปลูก|ถั่วลิสง| |ดู|กิจกรรม| |01115| |การ|ปลูก|ถั่วฝักยาว| |ถั่ว|แขก| |ดู|กิจกรรม| |01132,growing of leguminous crops,"the growing of green beans , beans , beans , beans , lentils , beans , beans , beans , beans , lentils , beans , beans , lentils , beans , beans , lentils , beans , beans , beans , beans , beans , and other tribes , doesn &apos;t include soybean and solaring .",ดูกิจกรรม|ถั่วลันเตา|ถั่วบี|ถั่วปากอ้า|ถั่วหัวช้าง|ถั่วมะแฮะ|ถั่วสด|ชิคพี|คาวพี|ถั่วเลนทิล|ถั่วลูพิน|ถั่วพีเจียน,"watch the activity|- le pea .|beans , b .|the peas are ... open ...|elephant head|that &apos;s nuts .|fresh peas .|&quot; chick &quot; ?|bull !|beans , lentils .|lentils|pigeon peas"
01114,การปลูกถั่วเหลือง,การ|ปลูก|ถั่วเหลือง,การปลูกถั่วเหลือง แต่ไม่รวมถึง การปลูกพืชน้ำมัน ยกเว้น ถั่วเหลือง ดูกิจกรรม 01115,การ|ปลูก|ถั่วเหลือง| |แต่|ไม่|รวมถึง| |การ|ปลูก|พืช|น้ำมัน| |ยกเว้น| |ถั่วเหลือง| |ดู|กิจกรรม| |01115,growing of soybean paste,"growing of soybean , but not including growing of oil , except soybean , watch stuxnet activity .",ปลูกพืชน้ำมัน|ถั่วเหลือง|ยกเว้น,cultivate oil plants|soybean :|except ...
01115,การปลูกพืชน้ำมัน ยกเว้น ถั่วเหลือง,การ|ปลูก|พืช|น้ำมัน| |ยกเว้น| |ถั่วเหลือง,การปลูกพืชน้ำมัน เช่น ถั่วลิสง ดอกคำฝอย ดอกทานตะวัน งา ละหุ่ง ลินสีด มัสตาร์ด ไนเจอร์เรป และพืชอื่น ๆ ที่ให้น้ำมัน แต่ไม่รวมถึง การปลูกถั่วเหลือง ดูกิจกรรม 01114 การปลูกไม้ยืนต้นที่ให้น้ำมัน เช่น ปาล์มน้ำมัน มะพร้าว ดูหมู่ย่อย 0126,การ|ปลูก|พืช|น้ำมัน| |เช่น| |ถั่วลิสง| |ดอก|คำฝอย| |ดอกทานตะวัน| |งา| |ละหุ่ง| |ลินสีด| |มัสตาร์ด| |ไนเจอร์|เร|ป| |และ|พืช|อื่น| |ๆ| |ที่|ให้|น้ำมัน| |แต่|ไม่|รวมถึง| |การ|ปลูก|ถั่วเหลือง| |ดู|กิจกรรม| |01114| |การ|ปลูก|ไม้ยืนต้น|ที่|ให้|น้ำมัน| |เช่น| |ปาล์ม|น้ำมัน| |มะพร้าว| |ดู|หมู่|ย่อย| |0126,growing of oil crops except soybean :,"growing of oil , such as peanuts , wine , mustard , niger , mustard , and other plants that are oil , but not growing in the process of growing soybean .",น้ำมัน|ถั่วลิสง|มะพร้าว|ดอกคำฝอย|ดอกทานตะวัน|งา|ละหุ่ง|ลินสีด|มัสตาร์ด,oil .|peanuts .|- coconut .|safflower|sunflowers .|sesame seed|ricin .|linens|mustard seed
01121,การปลูกข้าวเจ้า,การ|ปลูก|ข้าวเจ้า,การปลูกข้าวเจ้า,การ|ปลูก|ข้าวเจ้า,rice cultivation,rice cultivation,ปลูกข้าวเจ้า,plant the rice crop
01122,การปลูกข้าวเหนียว,การ|ปลูก|ข้าวเหนียว,การปลูกข้าวเหนียว,การ|ปลูก|ข้าวเหนียว,growing of sticky rice,growing of sticky rice,ปลูกข้าวเหนียว,grow sticky rice
01131,การปลูกพืชผักกินใบและพืชผักกินต้น,การ|ปลูก|พืชผัก|กิน|ใบ|และ|พืชผัก|กิน|ต้น,การปลูกพืชผักกินใบหรือพืชผักกินต้น เช่น ผักคะน้า ผักบุ้ง ผักกาด ผักสลัด กะหล่ำปลีกะหล่ำดอก หน่อไม้ฝรั่ง บรอกโคลีอาติโชก ชิโครี่ ผักโขม และ พืชผักกินใบและพืชผักกินต้นอื่น ๆ,การ|ปลูก|พืชผัก|กิน|ใบ|หรือ|พืชผัก|กิน|ต้น| |เช่น| |ผัก|คะน้า| |ผักบุ้ง| |ผักกาด| |ผักสลัด| |กะหล่ำปลี|กะหล่ำ|ดอก| |หน่อไม้ฝรั่ง| |บร|อก|โค|ลี|อา|ติ|โชก| |ชิ|โค|รี่| |ผักโขม| |และ| |พืชผัก|กิน|ใบ|และ|พืชผัก|กิน|ต้น|อื่น| |ๆ,growing of leafy or stem vegetables,"growing of leafy or vegetable vegetables such as lettuce , lettuce , lettuce , lettuce , lettuce , lettuce , cabbage , lettuce , lettuce , lettuce , lettuce , lettuce , and vegetables and other edible vegetables",พืชผักกินต้น|ใบ|ผักกาด|ผักสลัด|กะหล่ำปลีกะหล่ำดอก|หน่อไม้ฝรั่ง|บรอกโคลี|อาติโชก|ชิโครี่,leafy vegetables|two leaves .|- lettuce !|lettuce for the salad|cabbage cauliflower .|asparagus .|bronco ?|artichoke .|chicory .
01132,การปลูกพืชผักกินผล รวมถึงแตงชนิดต่าง ๆ,การ|ปลูก|พืชผัก|กิน|ผล| |รวมถึง|แตง|ชนิด|ต่าง ๆ,การปลูกพืชผักกินผล เช่น มะเขือม่วง มะเขือเทศ มะเขือยาว ฟัก ฟักทอง ข้าวโพด ที่กินฝักสด เช่น ข้าวโพดฝักอ่อน ข้าวโพดหวาน ข้าวโพดข้าวเหนียว ถั่วฝักยาว ถั่วแขก แตงร้าน แตงกวา แตงโม แคนตาลูป รวมทั้งแตงและพืชผัก กินผลชนิดอื่น ๆ แต่ไม่รวมถึง การปลูกข้าวโพดที่ใช้เมล็ดแก่ ดูกิจกรรม 01111 การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูกิจกรรม 01191,การ|ปลูก|พืชผัก|กิน|ผล| |เช่น| |มะเขือ|ม่วง| |มะเขือเทศ| |มะเขือ|ยาว| |ฟัก| |ฟักทอง| |ข้าวโพด| |ที่|กิน|ฝัก|สด| |เช่น| |ข้าวโพด|ฝัก|อ่อน| |ข้าวโพด|หวาน| |ข้าวโพด|ข้าวเหนียว| |ถั่วฝักยาว| |ถั่ว|แขก| |แตง|ร้าน| |แตงกวา| |แตงโม| |แคนตาลูป| |รวมทั้ง|แตง|และ|พืชผัก| |กิน|ผล|ชนิด|อื่น| |ๆ| |แต่|ไม่|รวมถึง| |การ|ปลูก|ข้าวโพด|ที่|ใช้|เมล็ด|แก่| |ดู|กิจกรรม| |01111| |การ|ปลูก|ข้าวโพด|ที่|ใช้|เป็น|อาหารสัตว์|ดู|กิจกรรม| |01191,"growing of vegetables , eating and other kinds of cucumbers","growing of vegetables such as eggplants , tomatoes , tomatoes , tomatoes , eggplants , corn , corn , corn , corn , corn , corn , corn , corn , corn , cucumbers , cucumbers , melons , melons , melons , melons , melons , cucumbers , melons , melons , melons , and cantilty crops .",ปลูกข้าวโพด|มะเขือม่วง|ดูกิจกรรม|มะเขือเทศ|มะเขือยาว|ฟัก|ฟักทอง|ข้าวโพด|กินฝักสด|ข้าวโพดฝักอ่อน|ข้าวโพดหวาน|ข้าวโพดข้าวเหนียว|ถั่วฝักยาว|ถั่วแขก|แตงร้าน|แตงกวา|แตงโม|แคนตาลูป|รวมทั้งแตง,"grow corn|eggplant|watch the activity|tomatoes .|eggplant|fuck !|- pumpkin .|corn .|eat fresh pods|a young ear corn|sweet corn|corn is sticky rice .|lentils|the beans , the guests .|- a store ?|- cucumber .|a watermelon .|cantaloupe|included is the melon ."
01133,การปลูกพืชผักกินหัว,การ|ปลูก|พืชผัก|กิน|หัว,การปลูกพืชผักกินหัว เช่น แครอท เทอร์นิป กระเทียม หอม หอมหัวใหญ่ หอมแดง และการปลูกพืชผักกินหัวอื่น ๆ,การ|ปลูก|พืชผัก|กิน|หัว| |เช่น| |แครอท| |เท|อร|์|นิ|ป| |กระเทียม| |หอม| |หอมหัวใหญ่| |หอมแดง| |และ|การ|ปลูก|พืชผัก|กิน|หัว|อื่น| |ๆ,growing of leafy vegetables,"growing of leafy vegetables such as carrots turnids , onions , onions , onions , onions , and growing other vegetables",ปลูกพืชผักกิน|เทอรนิ|กระเทียม|หอม,grow a garden of edible vegetables|turniin .|garlic|smells good .
