standard_code,version,frame,status,tier1_code,tier1_title,tier1_title_en,tier1_status,tier2_code,tier2_title,tier2_title_en,tier2_status,tier3_id,tier3_title,tier3_title_en,tier3_status,level_code,level_name,level_name_en,standard_type_code,standard_type_title,standard_group_code,standard_group_title,create_date,last_update,status_mapping,status_report
1,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,272.0,อาชีพช่างพิมพ์ดิจิทัล ,None,1,02,ชั้น 2,Level 2,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:07.123,2022-07-08 14:52:07.123,0,0
2,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,272.0,อาชีพช่างพิมพ์ดิจิทัล ,None,1,03,ชั้น 3,Level 3,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:09.010,2022-07-08 14:52:09.010,0,0
3,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,272.0,อาชีพช่างพิมพ์ดิจิทัล ,None,1,01,ชั้น 1,Level 1,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:11.260,2022-07-08 14:52:11.260,0,0
4,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,273.0,อาชีพช่างพิมพ์สกรีน ,None,1,01,ชั้น 1,Level 1,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:16.450,2022-07-08 14:52:16.450,0,0
5,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,273.0,อาชีพช่างพิมพ์สกรีน ,None,1,02,ชั้น 2,Level 2,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:18.183,2022-07-08 14:52:18.183,0,0
6,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,273.0,อาชีพช่างพิมพ์สกรีน ,None,1,03,ชั้น 3,Level 3,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:19.903,2022-07-08 14:52:19.903,0,0
7,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,273.0,อาชีพช่างพิมพ์สกรีน ,None,1,04,ชั้น 4,Level 4,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:21.417,2022-07-08 14:52:21.417,0,0
8,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,274.0,อาชีพช่างพิมพ์ออฟเซตป้อนม้วน,None,1,02,ชั้น 2,Level 2,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:26.180,2022-07-08 14:52:26.180,0,0
9,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,274.0,อาชีพช่างพิมพ์ออฟเซตป้อนม้วน,None,1,03,ชั้น 3,Level 3,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:29.643,2022-07-08 14:52:29.643,0,0
10,1,7,1,PRT,สาขาวิชาชีพอุตสาหกรรมการพิมพ์,Printing Industry,1,PRS,สาขางานพิมพ์,None,1,274.0,อาชีพช่างพิมพ์ออฟเซตป้อนม้วน,None,1,04,ชั้น 4,Level 4,1,มาตรฐานอาชีพ,INDUSTRIAL,อุตสาหกรรม,2022-07-08 14:52:31.637,2022-07-08 14:52:31.637,0,0
