,id,uoc_id,standard_code,uoc_code,uoc_name,uoc_name_en,create_date,"last_update"
0,1,1110,1,30202,ปฎิบัติงานพิมพ์ดิจิทัล ระดับ 2,None,2022-07-08 14:52:07.160,"2022-07-08 14:52:07.160"
1,2,1125,1,30207,ควบคุมคุณภาพงานพิมพ์ดิจิทัล ระดับ 2,None,2022-07-08 14:52:07.393,"2022-07-08 14:52:07.393"
2,3,1119,1,30205,บำรุงรักษาและดูแลความปลอดภัย ระดับ 2,None,2022-07-08 14:52:07.463,"2022-07-08 14:52:07.463"
3,4,1122,2,30206,บำรุงรักษาและดูแลความปลอดภัย ระดับ 3,None,2022-07-08 14:52:09.037,"2022-07-08 14:52:09.037"
4,5,1113,2,30203,ปฎิบัติงานพิมพ์ดิจิทัล ระดับ 3,None,2022-07-08 14:52:09.213,"2022-07-08 14:52:09.213"
5,6,1127,2,30208,ควบคุมคุณภาพงานพิมพ์ดิจิทัล ระดับ 3,None,2022-07-08 14:52:09.383,"2022-07-08 14:52:09.383"
6,7,1108,3,30201,ปฎิบัติงานพิมพ์ดิจิทัล ระดับ 1,None,2022-07-08 14:52:11.290,"2022-07-08 14:52:11.290"
7,8,1116,3,30204,บำรุงรักษาและดูแลความปลอดภัย ระดับ 1,None,2022-07-08 14:52:11.447,"2022-07-08 14:52:11.447"
8,9,1091,4,30101,การเตรียมพิมพ์สกรีน,None,2022-07-08 14:52:16.483,"2022-07-08 14:52:16.483"
9,10,1097,5,30102,การปรับตั้งเครื่องพิมพ์สกรีน,None,2022-07-08 14:52:18.213,"2022-07-08 14:52:18.213"
10,11,1101,6,30103,การตรวจสอบคุณภาพและการเก็บรักษางานพิมพ์สกรีน,None,2022-07-08 14:52:19.933,"2022-07-08 14:52:19.933"
11,12,1104,7,30104,การจัดการควบคุมสิ่งแวดล้อม,None,2022-07-08 14:52:21.453,"2022-07-08 14:52:21.453"
12,13,1203,8,30402,เตรียมเครื่องพิมพ์ออฟเซตป้อนม้วน,None,2022-07-08 14:52:26.217,"2022-07-08 14:52:26.217"
