industry_code,class_code,industry_name,industry_name_eng,description,status
01111,0111,การปลูกข้าวโพดที่ใช้เมล็ดแก่,Growing of maize," การปลูกข้าวโพดที่เก็บเกี่ยวเมล็ดแก่มาใช้ประโยชน์เพื่อเป็นวัตถุดิบในการผลิต แป้ง น้ำมัน หรืออาหารเช้าจากธัญพืช (คอร์นเฟล็กซ์) 
  แต่ไม่รวมถึง 
- การปลูกข้าวโพดที่กินฝักสด เช่น ข้าวโพดหวาน ข้าวโพดฝักอ่อน ดูกิจกรรม 01132
 - การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูกิจกรรม 01191
",1
01112,0111,การปลูกธัญพืช (ยกเว้น ข้าวและข้าวโพด),Growing of cereals except rice and maize,"การปลูกข้าวฟ่าง ข้าวสาลีข้าวบาร์เลย์ข้าวไรย์ข้าวโอ๊ต ลูกเดือย และธัญพืชอื่น ๆ แต่ไม่รวมถึง - การปลูกข้าว ดูหมู่ย่อย 0112 - การปลูกข้าวโพดที่ใช้เมล็ดแก่ ดูกิจกรรม 01111 - การปลูกข้าวโพดที่กินฝักสด เช่น ข้าวโพดหวาน ข้าวโพดฝักอ่อน ดูกิจกรรม 01132 - การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูกิจกรรม 01191
",1
01113,0111,การปลูกพืชตระกูลถั่ว,,"การปลูกถั่วเขียว ถั่วลันเตา ถั่วบีน ถั่วปากอ้า ถั่วหัวช้าง ถั่วมะแฮะ ถั่วสด ชิคพี(chick peas) คาวพี(cow peas) ถั่วเลนทิล (lentils) ถั่วลูพิน (lupins) ถั่วพีเจียน (pigeon peas) และพืชตระกูลถั่วอื่น ๆ แต่ไม่รวมถึง - การปลูกถั่วเหลือง ดูกิจกรรม 01114 - การปลูกถั่วลิสง ดูกิจกรรม 01115 - การปลูกถั่วฝักยาว ถั่วแขก ดูกิจกรรม 01132
",1
01114,0111,การปลูกถั่วเหลือง,,"การปลูกถั่วเหลือง แต่ไม่รวมถึง - การปลูกพืชน้ำมัน (ยกเว้น ถั่วเหลือง) ดูกิจกรรม 01115
",1
01115,0111,การปลูกพืชน้ำมัน (ยกเว้น ถั่วเหลือง),,"การปลูกพืชน้ำมัน เช่น ถั่วลิสง ดอกคำฝอย ดอกทานตะวัน งา ละหุ่ง ลินสีด มัสตาร์ด ไนเจอร์เรป และพืชอื่น ๆ ที่ให้น้ำมัน แต่ไม่รวมถึง - การปลูกถั่วเหลือง ดูกิจกรรม 01114 - การปลูกไม้ยืนต้นที่ให้น้ำมัน เช่น ปาล์มน้ำมัน มะพร้าว ดูหมู่ย่อย 0126
",1
01121,0112,การปลูกข้าวเจ้า,,"การปลูกข้าวเจ้า
",1
01122,0112,การปลูกข้าวเหนียว,,"การปลูกข้าวเหนียว
",1
01131,0113,การปลูกพืชผักกินใบและพืชผักกินต้น,,"การปลูกพืชผักกินใบหรือพืชผักกินต้น เช่น ผักคะน้า ผักบุ้ง ผักกาด ผักสลัด กะหล่ำปลีกะหล่ำดอก หน่อไม้ฝรั่ง บรอกโคลีอาติโชก ชิโครี่ ผักโขม และ พืชผักกินใบและพืชผักกินต้นอื่น ๆ
",1
01132,0113,การปลูกพืชผักกินผล รวมถึงแตงชนิดต่าง ๆ,,"การปลูกพืชผักกินผล เช่น มะเขือม่วง มะเขือเทศ มะเขือยาว ฟัก ฟักทอง ข้าวโพด ที่กินฝักสด (เช่น ข้าวโพดฝักอ่อน ข้าวโพดหวาน ข้าวโพดข้าวเหนียว) ถั่วฝักยาว ถั่วแขก แตงร้าน แตงกวา แตงโม แคนตาลูป รวมทั้งแตงและพืชผัก กินผลชนิดอื่น ๆ แต่ไม่รวมถึง - การปลูกข้าวโพดที่ใช้เมล็ดแก่ ดูกิจกรรม 01111 - การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูกิจกรรม 01191
",1
01133,0113,การปลูกพืชผักกินหัว,,"การปลูกพืชผักกินหัว เช่น แครอท เทอร์นิป กระเทียม หอม หอมหัวใหญ่ หอมแดง และการปลูกพืชผักกินหัวอื่น ๆ
",1
01134,0113,การปลูกพืชจำพวกรากและหัว (ยกเว้นมันสำปะหลัง),,"การปลูกพืชจำพวกรากและหัวที่ให้สตาร์ชและอินนูลินสูง เช่น มันฝรั่ง มันเทศ เผือก กลอย มันเสา ท้าวยายม่อม และพืชจำพวกรากและหัวอื่น ๆ
",1
01135,0113,การปลูกมันสำปะหลัง,,"การปลูกมันสำปะหลัง
",1
01136,0113,การเพาะเห็ด,,"การปลูกเห็ดชนิดมัชรูม (เช่น เห็ดหอม เห็ดฟาง เห็ดนางฟ้า ฯลฯ) และเห็ด ชนิดทรัฟเฟิล แต่ไม่รวมถึง - การเพาะเชื้อเห็ด/ส่าเห็ด ดูกิจกรรม 01302
",1
01139,0113,การปลูกพืชผักอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,,"การปลูกพืชผักกินดอก เช่น แค โสน ขจร ฯลฯ การปลูกพืชที่มีเมล็ด ยกเว้น เมล็ดหัวผักกาด การปลูกชูการ์บีทและพืชผักอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น แต่ไม่รวมถึง - การปลูกพริกและพริกไทย (พริกในตระกูลแคปซิกัม) และพืชที่ใช้เป็น เครื่องเทศและพืชน้ำมันหอมระเหยอื่น ๆ ดูหมู่ย่อย 0128 - การปลูกหัวผักกาดที่ให้เมล็ด ดูกิจกรรม 01199
",1
